identifier,ec_numbers,localization,Gene3D
Q8WVY7,3.1.3,Nucleus,other
Q8WVZ1,2.3.1,other,
Q8WVZ7,2.3.2,Endoplasmic reticulum membrane,other
Q8WVZ9,,"Cytoplasm, Nucleus",other
Q8WW01,,other,other
Q8WW12,,Nucleus,
Q8WW22,,Membrane,other
Q8WW24,,other,
Q8WW34,,Membrane,
Q8WW35,,other,other
Q8WW38,,Nucleus,3.30.160.60
Q8WW43,,Membrane,
Q8WWA0,,other,other
Q8WWB3,,other,other
Q8WWB5,,,
Q8WWB7,,other,
Q8WWF3,,Membrane,
Q8WWF5,2.3.2,Endoplasmic reticulum membrane,other
Q8WWG9,,Membrane,
Q8WWH4,,Cytoplasm,other
Q8WWH5,other,other,other
Q8WWI1,,,other
Q8WWI5,,other,
Q8WWK9,,other,
Q8WWL2,,other,1.10.510.10
Q8WWL7,,Nucleus,other
Q8WWM7,,other,
Q8WWM9,other,"Cytoplasm, Nucleus",other
Q8WWN8,,other,other
Q8WWN9,,other,other
Q8WWP7,,other,3.40.50.300
Q8WWQ0,,Nucleus,other
Q8WWQ2,,other,other
Q8WWQ8,,other,other
Q8WWR8,other,other,other
Q8WWT9,,Cell membrane,
Q8WWU5,,other,
Q8WWV3,,other,other
Q8WWV6,,Cell membrane,2.60.40.10
Q8WWW0,,other,other
Q8WWX8,,other,other
Q8WWY3,,other,other
Q8WWY6,,Nucleus,
Q8WWY8,other,other,other
Q8WWZ1,,other,other
Q8WWZ3,,Cytoplasm,other
Q8WWZ4,other,Membrane,3.40.50.300
Q8WWZ7,other,other,3.40.50.300
Q8WWZ8,,other,other
Q8WX92,,Nucleus,
Q8WX93,,other,2.60.40.10
Q8WX94,,,other
Q8WXA3,,Nucleus,other
Q8WXA8,,other,other
Q8WXA9,,Nucleus,3.30.70.330
Q8WXB1,2.1.1,Cytoplasm,other
Q8WXC3,,Cytoplasm,other
Q8WXC6,,other,
Q8WXD0,,Cell membrane,other
Q8WXD2,,other,
Q8WXD5,,other,other
Q8WXE1,,Nucleus,
Q8WXE9,,other,other
Q8WXF0,,Nucleus,3.30.70.330
Q8WXF1,,other,other
Q8WXF3,,Secreted,
Q8WXF7,3.6.5,other,other
Q8WXF8,,other,other
Q8WXG1,other,other,other
Q8WXG6,,other,other
Q8WXG8,,,other
Q8WXH2,,other,other
Q8WXH4,,other,other
Q8WXH5,,,other
Q8WXI2,,other,other
Q8WXI3,,"Cytoplasm, Nucleus",other
Q8WXI4,other,other,other
Q8WXI8,,Cell membrane,other
Q8WXI9,,other,other
Q8WXK1,,,other
Q8WXK3,,,other
Q8WXK4,,,other
Q8WXR4,2.7.11,other,other
Q8WXS3,,other,
Q8WXS5,,other,other
Q8WXS8,other,other,other
Q8WXU2,,other,other
Q8WXW3,,other,
Q8WXX5,,other,other
Q8WXX7,,other,
Q8WY07,,Cell membrane,other
Q8WY21,,Membrane,other
Q8WY36,,Nucleus,other
Q8WY41,,other,other
Q8WY54,3.1.3,"Nucleus, Cytoplasm",other
Q8WY64,2.3.2,other,other
Q8WY91,other,"Cytoplasm, Nucleus",other
Q8WY98,,Membrane,
Q8WYA0,,other,other
Q8WYA1,,Nucleus,other
Q8WYA6,,"Nucleus, Cytoplasm",other
Q8WYB5,2.3.1,Nucleus,other
Q8WYH8,,other,other
Q8WYJ6,,other,3.40.50.300
Q8WYK0,other,other,other
Q8WYK2,,Nucleus,other
Q8WYL5,3.1.3,other,other
Q8WYN0,other,Cytoplasm,
Q8WYP3,,Cytoplasm,other
Q8WYP5,,other,
Q8WYQ3,,other,
Q8WYQ5,,other,other
Q8WYR1,,other,
Q8WYR4,,other,other
Q8WZ04,2.1.1,other,other
Q8WZ19,,Nucleus,
Q8WZ55,,other,
Q8WZ59,,Membrane,
Q8WZ73,2.3.2,other,other
Q8WZ74,,other,other
Q8WZ75,,,2.60.40.10
Q8WZA1,2.4.1,other,
Q8WZA2,,other,other
Q92185,other,other,other
Q92186,other,other,other
Q92187,other,other,other
Q92466,,other,other
Q92478,,other,other
Q92481,,Nucleus,
Q92482,,other,other
Q92484,other,Secreted,other
Q92485,other,other,other
Q92496,,Secreted,other
Q92499,3.6.4,other,other
Q92502,,other,other
Q92503,,other,other
Q92504,,other,
Q92506,other,other,other
Q92508,,other,
Q92519,,other,1.10.510.10
Q92520,,other,
Q92521,2.4.1,Endoplasmic reticulum membrane,
Q92522,,other,other
Q92523,2.3.1,other,other
Q92526,,Cytoplasm,other
Q92529,,,other
Q92530,,other,other
Q92535,,Endoplasmic reticulum membrane,
Q92536,,Cell membrane,other
Q92537,,Membrane,other
Q92539,3.1.3,other,
Q92540,,"Cytoplasm, Nucleus",other
Q92541,,other,other
Q92542,,other,other
Q92543,,other,other
Q92544,,other,
Q92546,,other,
Q92547,,other,other
Q92551,other,"Cytoplasm, Nucleus",other
Q92552,,other,other
Q92556,,other,other
Q92558,,other,other
Q92560,3.4.19,other,other
Q92562,3.1.3,other,
Q92563,,other,other
Q92564,,Nucleus,other
Q92565,,Nucleus,other
Q92567,,,
Q92569,,,other
Q92570,,Nucleus,other
Q92572,,other,other
Q92574,,other,
Q92575,,other,other
Q92583,,Secreted,other
Q92585,,other,other
Q92597,,other,other
Q92598,,Cytoplasm,other
Q92599,,other,3.40.50.300
Q92600,,other,other
Q92604,2.3.1,Endoplasmic reticulum membrane,
Q92608,,other,other
Q92609,,other,other
Q92611,,Endoplasmic reticulum membrane,other
Q92613,,,other
Q92614,,other,other
Q92615,,other,other
Q92618,,Nucleus,3.30.160.60
Q92619,,other,other
Q92620,3.6.4,Nucleus,other
Q92621,,other,
Q92622,,other,other
Q92624,,other,other
Q92625,,other,other
Q92626,other,other,other
Q92629,,other,
Q92630,other,"Cytoplasm, Nucleus",other
Q92633,,other,1.20.1070.10
Q92636,,,other
Q92637,,Cell membrane,2.60.40.10
Q92643,other,Endoplasmic reticulum membrane,other
Q92665,,Mitochondrion,
Q92667,,other,other
Q92673,,other,other
Q92674,,other,
Q92681,,other,
Q92685,2.4.1,Endoplasmic reticulum membrane,
Q92688,,other,3.80.10.10
Q92692,,Cell membrane,2.60.40.10
Q92696,other,,other
Q92698,3.6.4,Nucleus,other
Q92729,3.1.3,other,other
Q92730,,other,3.40.50.300
Q92731,,Nucleus,other
Q92733,,Nucleus,
Q92734,,other,
Q92737,3.6.5,other,3.40.50.300
Q92738,,other,other
Q92743,3.4.21,other,other
Q92748,,"Nucleus, Cytoplasm",other
Q92750,,"Nucleus, Cytoplasm",other
Q92752,,other,other
Q92753,,other,other
Q92754,,Nucleus,
Q92759,,Nucleus,other
Q92764,,,other
Q92765,,Secreted,other
Q92766,,other,3.30.160.60
Q92769,other,"Nucleus, Cytoplasm",other
Q92772,2.7.11,"Cytoplasm, Nucleus",1.10.510.10
Q92777,,other,other
Q92781,other,Endoplasmic reticulum membrane,other
Q92783,,other,other
Q92784,,Nucleus,other
Q92785,,"Nucleus, Cytoplasm",other
Q92786,,Nucleus,other
Q92791,,other,other
Q92793,2.3.1,"Cytoplasm, Nucleus",other
Q92794,2.3.1,other,other
Q92796,,,other
Q92797,,other,other
Q92800,2.1.1,Nucleus,other
Q92802,,,3.40.50.300
Q92804,,"Nucleus, Cytoplasm",other
Q92805,,other,other
Q92817,,other,other
Q92819,2.4.1,other,
Q92820,3.4.19,other,other
Q92823,,other,2.60.40.10
Q92824,3.4.21,other,other
Q92826,,Nucleus,1.10.10.60
Q92830,2.3.1,other,other
Q92831,2.3.1,other,other
Q92832,,other,other
Q92833,,Nucleus,other
Q92834,,other,other
Q92835,3.1.3,other,other
Q92837,,Cytoplasm,
Q92838,,other,other
Q92839,2.4.1,Membrane,
Q92841,3.6.4,other,3.40.50.300
Q92843,,other,other
Q92844,,Cytoplasm,
Q92845,,,other
Q92847,,Cell membrane,1.20.1070.10
Q92851,other,,other
Q92854,,Cell membrane,other
Q92858,,Nucleus,other
Q92859,,Cell membrane,2.60.40.10
Q92870,,other,other
Q92871,other,Cytoplasm,other
Q92874,other,other,other
Q92876,3.4.21,other,other
Q92878,other,other,3.40.50.300
Q92879,,"Nucleus, Cytoplasm",3.30.70.330
Q92882,,Cytoplasm,other
Q92886,,Nucleus,other
Q92887,other,other,other
Q92888,,other,other
Q92889,other,other,other
Q92890,,other,other
Q92896,,other,
Q92900,3.6.4,other,other
Q92901,,,other
Q92902,,,
Q92903,other,Endoplasmic reticulum membrane,
Q92904,,"Cytoplasm, Nucleus",3.30.70.330
Q92905,other,other,other
Q92908,,Nucleus,other
Q92911,,other,other
Q92913,,other,other
Q92915,,Nucleus,other
Q92917,,Nucleus,other
Q92918,2.7.11,,1.10.510.10
Q92922,,"Nucleus, Cytoplasm",other
Q92925,,Nucleus,other
Q92930,,other,3.40.50.300
Q92932,3.1.3,other,other
Q92934,,other,
Q92935,2.4.1,Endoplasmic reticulum membrane,
Q92945,,"Nucleus, Cytoplasm",other
Q92947,other,other,other
Q92949,,Nucleus,other
Q92952,,Membrane,other
Q92953,,other,other
Q92954,,Secreted,other
Q92956,,Cell membrane,other
Q92959,,other,other
Q92963,3.6.5,Cell membrane,3.40.50.300
Q92966,,Nucleus,
Q92968,,other,other
Q92973,,"Cytoplasm, Nucleus",other
Q92974,,other,other
Q92979,2.1.1,other,other
Q92982,,other,
Q92985,,"Nucleus, Cytoplasm",other
Q92988,,Nucleus,1.10.10.60
Q92989,other,Nucleus,other
Q92990,,,
Q92993,2.3.1,other,other
Q92994,,Nucleus,other
Q92995,3.4.19,Cytoplasm,other
Q92997,,Cytoplasm,other
Q93008,3.4.19,other,other
Q93009,3.4.19,other,other
Q93015,2.3.1,other,other
Q93033,,Membrane,2.60.40.10
Q93034,,Nucleus,other
Q93038,,other,other
Q93045,,other,other
Q93050,,other,
Q93052,,other,other
Q93062,,other,3.30.70.330
Q93063,2.4.1,other,
Q93074,,Nucleus,
Q93077,,other,other
Q93079,,other,other
Q93084,other,other,other
Q93088,2.1.1,other,other
Q93091,other,other,other
Q93096,3.1.3,other,other
Q93097,,other,other
Q93098,,other,other
Q93099,other,,other
Q93100,,Cell membrane,
Q95460,,other,other
Q969D9,,Secreted,other
Q969E2,,Membrane,
Q969E3,,Secreted,
Q969E8,,,
Q969F0,,other,
Q969F1,,Nucleus,other
Q969F2,,other,other
Q969F8,,Cell membrane,1.20.1070.10
Q969F9,,other,
Q969G2,,Nucleus,other
Q969G3,,Nucleus,other
Q969G5,,other,
Q969G6,other,Cytoplasm,other
Q969G9,,other,other
Q969H0,,other,other
Q969H4,,other,other
Q969H6,,other,other
Q969H8,,other,
Q969I6,,other,
Q969J2,,Nucleus,other
Q969J3,,other,
Q969J5,,Secreted,2.60.40.10
Q969K3,2.3.2,other,other
Q969K4,,Cytoplasm,other
Q969K7,,Membrane,
Q969L2,,other,
Q969L4,,Nucleus,other
Q969M3,,other,
Q969M7,2.3.2,,other
Q969N2,,Endoplasmic reticulum membrane,
Q969P0,,Cell membrane,2.60.40.10
Q969P5,,"Cytoplasm, Nucleus",other
Q969P6,other,Mitochondrion,other
Q969Q1,2.3.2,other,other
Q969Q5,,other,3.40.50.300
Q969Q6,,"Nucleus, Cytoplasm",other
Q969R2,,Membrane,other
Q969R5,,Nucleus,other
Q969R8,,other,other
Q969S0,,Endoplasmic reticulum membrane,
Q969S2,other,Nucleus,other
Q969S3,,"Cytoplasm, Nucleus",3.30.160.60
Q969S6,,other,
Q969S8,other,"Cytoplasm, Nucleus",other
Q969S9,3.6.5,Mitochondrion,other
Q969T4,2.3.2,"Nucleus, Cytoplasm",other
Q969T7,3.1.3,Cytoplasm,other
Q969T9,,"Cytoplasm, Nucleus",
Q969U6,,Cytoplasm,other
Q969U7,,Nucleus,other
Q969V3,,Endoplasmic reticulum membrane,other
Q969V4,,other,
Q969V5,2.3.2,other,other
Q969V6,,"Cytoplasm, Nucleus",other
Q969W0,,Endoplasmic reticulum membrane,
Q969W1,2.3.1,Endoplasmic reticulum membrane,
Q969W9,,other,
Q969X0,,other,other
Q969X1,,other,
Q969X2,other,other,other
Q969X5,,other,
Q969X6,,other,2.130.10.10
Q969Y2,,Mitochondrion,other
Q969Z0,,other,
Q969Z3,other,other,
Q969Z4,,other,other
Q96A08,,other,other
Q96A09,other,"Cytoplasm, Nucleus",
Q96A11,other,other,3.40.50.300
Q96A25,,Cell membrane,other
Q96A26,,other,
Q96A29,,other,
Q96A32,,,other
Q96A33,,other,
Q96A37,2.3.2,Cytoplasm,other
Q96A44,,other,other
Q96A49,,other,other
Q96A54,,Cell membrane,
Q96A56,,other,
Q96A57,,other,
Q96A58,3.6.5,Cytoplasm,3.40.50.300
Q96A59,,other,
Q96A61,2.3.2,other,other
Q96A65,,other,
Q96A70,,other,other
Q96A72,,Nucleus,other
Q96A83,,other,
Q96AA3,,Endoplasmic reticulum membrane,
Q96AA8,,other,
Q96AB6,other,Cytoplasm,
Q96AC1,,other,other
Q96AD5,other,other,other
Q96AE4,,Nucleus,other
Q96AE7,,other,other
Q96AG3,,other,other
Q96AG4,,other,3.80.10.10
Q96AH0,,Nucleus,other
Q96AH8,,other,3.40.50.300
Q96AJ1,,other,
Q96AJ9,,other,other
Q96AK3,other,other,other
Q96AN5,,Membrane,
Q96AP0,,other,other
Q96AP4,3.4.19,"Cytoplasm, Nucleus",other
Q96AP7,,other,2.60.40.10
Q96AQ6,,other,
Q96AQ7,,other,other
Q96AQ8,,Mitochondrion inner membrane,other
Q96AT9,other,,other
Q96AV8,,Nucleus,other
Q96AW1,,other,
Q96AX1,,other,other
Q96AX2,,other,3.40.50.300
Q96AY2,other,other,other
Q96AY3,other,other,other
Q96AY4,,other,other
Q96AZ1,2.1.1,other,other
Q96AZ6,other,other,other
Q96B01,,other,
Q96B02,2.3.2,Nucleus,other
Q96B18,,,
Q96B21,,other,
Q96B23,,Nucleus,
Q96B26,,other,other
Q96B36,,other,
Q96B42,,other,
Q96B49,,other,
Q96B67,,other,other
Q96B96,,other,
Q96B97,,other,other
Q96BA8,,other,other
Q96BD0,,Cell membrane,other
Q96BD5,,Nucleus,other
Q96BD6,,other,other
Q96BD8,,other,other
Q96BF3,,Cell membrane,2.60.40.10
Q96BF6,,Nucleus,other
Q96BH1,2.3.2,Cytoplasm,other
Q96BI1,,other,other
Q96BI3,,other,
Q96BJ3,,,other
Q96BK5,,other,
Q96BM1,,other,other
Q96BM9,,other,3.40.50.300
Q96BN2,,Nucleus,
Q96BN8,3.4.19,Cytoplasm,
Q96BP2,,other,
Q96BP3,other,Nucleus,other
Q96BR1,2.7.11,other,other
Q96BR5,,other,other
Q96BR6,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96BS2,,other,other
Q96BT3,,other,other
Q96BT7,2.1.1,"Cytoplasm, Nucleus",other
Q96BW1,,"Cytoplasm, Nucleus",other
Q96BW9,other,Mitochondrion inner membrane,
Q96BY2,,other,
Q96BY6,,other,other
Q96BY7,,other,
Q96BY9,,other,
Q96BZ4,other,other,other
Q96BZ9,,Membrane,other
Q96C00,,Nucleus,3.30.160.60
Q96C03,,other,other
Q96C10,3.6.4,Cytoplasm,other
Q96C11,other,,other
Q96C12,,Cytoplasm,other
Q96C23,other,Cytoplasm,other
Q96C24,,other,other
Q96C36,other,other,other
Q96C45,2.7.11,,other
Q96C55,,Nucleus,3.30.160.60
Q96C74,,other,other
Q96C86,other,"Cytoplasm, Nucleus",other
Q96C92,,other,
Q96CA5,2.3.2,other,other
Q96CB8,,Nucleus,other
Q96CB9,2.1.1,Mitochondrion,other
Q96CC6,,other,other
Q96CD2,other,,other
Q96CE8,,Membrane,
Q96CF2,,other,other
Q96CG3,,Cytoplasm,
Q96CG8,,other,
Q96CJ1,,other,
Q96CK0,,Nucleus,3.30.160.60
Q96CM3,other,other,other
Q96CM8,other,Mitochondrion,other
Q96CN4,,,other
Q96CN5,,other,3.80.10.10
Q96CN9,,other,other
Q96CP6,,other,other
Q96CP7,,Cell membrane,
Q96CQ1,,Mitochondrion inner membrane,other
Q96CS2,,other,
Q96CS3,,other,other
Q96CS7,,other,other
Q96CT7,,other,
Q96CU9,other,Mitochondrion inner membrane,other
Q96CV9,,other,other
Q96CW1,,other,other
Q96CW5,,other,other
Q96CW9,,Cell membrane,other
Q96D03,,Cytoplasm,other
Q96D05,,Membrane,
Q96D09,,,other
Q96D15,,other,other
Q96D21,,Cell membrane,3.40.50.300
Q96D31,,other,other
Q96D42,,Cell membrane,2.60.40.10
Q96D46,,"Cytoplasm, Nucleus",
Q96D53,other,other,
Q96D59,2.3.2,other,other
Q96D71,,other,other
Q96D96,,other,other
Q96D98,,Nucleus,
Q96DA2,,other,3.40.50.300
Q96DA6,,Mitochondrion inner membrane,other
Q96DB2,other,Nucleus,other
Q96DB5,,other,other
Q96DB9,,other,other
Q96DC9,3.4.19,,other
Q96DE0,other,other,other
Q96DE5,,other,
Q96DF8,,Nucleus,
Q96DG6,other,other,other
Q96DH6,,Cytoplasm,3.30.70.330
Q96DI7,,Nucleus,2.130.10.10
Q96DM3,,other,2.130.10.10
Q96DN0,,other,other
Q96DN2,,Secreted,other
Q96DN5,,other,other
Q96DN6,,other,
Q96DP5,other,Mitochondrion,other
Q96DR4,,,other
Q96DR5,,Secreted,
Q96DR7,,other,other
Q96DR8,,other,
Q96DT6,other,Cytoplasm,
Q96DT7,,Nucleus,3.30.160.60
Q96DU3,,Cell membrane,2.60.40.10
Q96DU7,other,"Nucleus, Cytoplasm",other
Q96DV4,,Mitochondrion,other
Q96DW6,,Mitochondrion inner membrane,other
Q96DX5,,Mitochondrion,other
Q96DX7,,,other
Q96DX8,,Membrane,
Q96DZ1,,other,other
Q96DZ5,,other,other
Q96DZ7,,Membrane,
Q96DZ9,,Membrane,
Q96E09,,"Nucleus, Cytoplasm",
Q96E11,,Mitochondrion,other
Q96E14,,Nucleus,other
Q96E17,,Cell membrane,3.40.50.300
Q96E22,other,Endoplasmic reticulum membrane,other
Q96E29,,Mitochondrion,other
Q96E35,,other,other
Q96E40,,other,
Q96E52,other,Mitochondrion inner membrane,other
Q96E93,,Cell membrane,other
Q96EA4,,other,
Q96EB1,,"Cytoplasm, Nucleus",3.40.50.300
Q96EB6,2.3.1,other,other
Q96EC8,,other,
Q96ED9,,other,other
Q96EE3,,other,2.130.10.10
Q96EF0,3.1.3,other,other
Q96EF6,,,other
Q96EG1,other,other,other
Q96EG3,,Nucleus,3.30.160.60
Q96EH3,,other,other
Q96EK4,,"Nucleus, Cytoplasm",
Q96EK5,,other,other
Q96EK6,2.3.1,other,other
Q96EL1,,"Nucleus, Cytoplasm",
Q96EL3,,Mitochondrion,other
Q96EM0,other,,
Q96EN8,other,,other
Q96EP0,2.3.2,Cytoplasm,other
Q96EP1,2.3.2,other,other
Q96EP5,,"Cytoplasm, Nucleus",3.30.70.330
Q96EP9,,Cell membrane,other
Q96EQ0,,,other
Q96EQ8,2.3.2,other,other
Q96ER9,,other,
Q96ES7,,Nucleus,other
Q96EU7,,Membrane,other
Q96EV2,,"Nucleus, Cytoplasm",3.30.70.330
Q96EV8,,other,
Q96EW2,,Cytoplasm,other
Q96EX2,,Membrane,other
Q96EX3,,other,2.130.10.10
Q96EY1,,other,other
Q96EY4,,Nucleus,other
Q96EY5,,other,other
Q96EY7,,Mitochondrion,other
Q96EY8,other,Mitochondrion,other
Q96EZ8,,other,other
Q96F05,,other,
Q96F07,,other,
Q96F10,2.3.1,Cytoplasm,other
Q96F15,,other,3.40.50.300
Q96F24,,other,other
Q96F25,,Endoplasmic reticulum membrane,other
Q96F44,2.3.2,"Cytoplasm, Nucleus",other
Q96F45,,Nucleus,3.30.160.60
Q96F46,,other,other
Q96F81,,Membrane,other
Q96F85,,,
Q96F86,,other,other
Q96FA3,2.3.2,other,
Q96FC9,other,other,3.40.50.300
Q96FE5,,Cell membrane,other
Q96FE7,,Cell membrane,other
Q96FF9,,other,
Q96FG2,,other,
Q96FI4,other,other,other
Q96FJ0,3.4.19,,other
Q96FJ2,,other,other
Q96FL8,,other,
Q96FL9,2.4.1,other,other
Q96FM1,,other,
Q96FN4,,other,other
Q96FQ6,,other,other
Q96FS4,,other,other
Q96FT9,,other,
Q96FV3,,Cell membrane,other
Q96FV9,,other,other
Q96FW1,3.4.19,Cytoplasm,other
Q96FX2,,"Cytoplasm, Nucleus",other
Q96FX7,2.1.1,Nucleus,other
Q96FX8,,other,other
Q96FZ2,other,other,other
Q96FZ5,,Membrane,
Q96FZ7,,other,other
Q96G01,,other,other
Q96G03,other,other,other
Q96G04,2.1.1,Cytoplasm,other
Q96G21,,other,other
Q96G23,2.3.1,Endoplasmic reticulum membrane,1.10.10.60
Q96G25,,Nucleus,
Q96G28,,other,other
Q96G30,,other,
Q96G42,,,other
Q96G46,other,,other
Q96G61,other,Cytoplasm,other
Q96G74,3.4.19,Nucleus,other
Q96G75,2.3.2,other,
Q96G79,,other,
Q96G91,,Cell membrane,1.20.1070.10
Q96G97,,other,
Q96GA3,,Cytoplasm,
Q96GA7,other,,other
Q96GC6,,other,other
Q96GC9,,other,
Q96GD0,3.1.3,other,other
Q96GD3,,Nucleus,other
Q96GD4,2.7.11,other,1.10.510.10
Q96GE4,,other,
Q96GE6,,other,other
Q96GF1,2.3.2,other,other
Q96GG9,,"Nucleus, Cytoplasm",other
Q96GJ1,2.1.1,other,other
Q96GL9,,Membrane,
Q96GM1,,Membrane,other
Q96GM5,,Nucleus,other
Q96GM8,,other,other
Q96GN5,,"Cytoplasm, Nucleus",
Q96GP6,,Membrane,other
Q96GQ5,,Membrane,
Q96GQ7,3.6.4,other,3.40.50.300
Q96GR2,other,other,other
Q96GR4,2.3.1,other,
Q96GS4,,other,
Q96GS6,other,other,other
Q96GV9,,other,
Q96GW7,,other,other
Q96GW9,other,other,other
Q96GX1,,other,
Q96GX5,2.7.11,other,1.10.510.10
Q96GX9,other,Cytoplasm,other
Q96GY3,,,
Q96GZ6,,Mitochondrion inner membrane,other
Q96H15,,other,2.60.40.10
Q96H20,,other,other
Q96H22,,other,
Q96H55,,other,other
Q96H72,,other,
Q96H86,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96HA1,,other,
Q96HA7,,other,other
Q96HA8,other,other,other
Q96HA9,,other,
Q96HB5,,other,
Q96HC4,,other,other
Q96HD1,other,Membrane,other
Q96HD9,other,other,other
Q96HE7,other,other,
Q96HF1,,Secreted,other
Q96HH6,,Membrane,
Q96HH9,,,other
Q96HI0,other,other,
Q96HJ3,,other,
Q96HJ5,,other,
Q96HN2,other,other,other
Q96HP0,,other,other
Q96HP8,,Membrane,
Q96HR3,,Nucleus,
Q96HR8,,"Cytoplasm, Nucleus",other
Q96HR9,,other,
Q96HS1,3.1.3,other,other
Q96HT8,,,
Q96HU1,,Cytoplasm,other
Q96HU8,3.6.5,Cell membrane,3.40.50.300
Q96HW7,,Nucleus,other
Q96HY6,,Endoplasmic reticulum membrane,other
Q96HY7,other,Mitochondrion,other
Q96HZ4,,Nucleus,other
Q96I15,other,other,other
Q96I23,,Mitochondrion,other
Q96I24,,Nucleus,other
Q96I25,,Nucleus,3.30.70.330
Q96I27,,Nucleus,3.30.160.60
Q96I34,,Cell membrane,other
Q96I59,other,other,other
Q96I76,,"Nucleus, Cytoplasm",
Q96I99,other,Mitochondrion,other
Q96IF1,,other,other
Q96II8,,Cytoplasm,other
Q96IJ6,,Cytoplasm,other
Q96IK1,,other,
Q96IK5,,other,other
Q96IL0,,Mitochondrion inner membrane,
Q96IP4,other,Cytoplasm,
Q96IQ9,,Nucleus,3.30.160.60
Q96IR7,other,Mitochondrion,other
Q96IS3,,Nucleus,1.10.10.60
Q96IT1,,Nucleus,other
Q96IU2,,other,
Q96IU4,2.3.1,"Cytoplasm, Nucleus",other
Q96IV0,other,Cytoplasm,other
Q96IV6,,other,
Q96IW7,,Endoplasmic reticulum membrane,other
Q96IX5,,other,
Q96IY1,,other,
Q96IY4,other,Secreted,other
Q96IZ0,,"Cytoplasm, Nucleus",
Q96IZ2,other,Cell membrane,
Q96IZ5,,,3.30.70.330
Q96IZ6,2.1.1,Cytoplasm,other
Q96IZ7,,other,
Q96J01,,other,2.130.10.10
Q96J02,2.3.2,other,other
Q96J42,,other,other
Q96J65,,Endoplasmic reticulum membrane,other
Q96J66,other,other,other
Q96J84,,Cell membrane,2.60.40.10
Q96J87,,"Nucleus, Cytoplasm",3.30.70.330
Q96J92,2.7.11,other,1.10.510.10
Q96J94,other,Cytoplasm,other
Q96JA1,,Cell membrane,other
Q96JA3,,other,other
Q96JB2,,other,
Q96JB3,,Nucleus,3.30.160.60
Q96JB5,,other,
Q96JB6,other,other,other
Q96JB8,,Cytoplasm,other
Q96JC1,,other,
Q96JC9,,other,
Q96JD6,other,Cytoplasm,other
Q96JE7,,other,other
Q96JE9,,other,
Q96JF0,other,other,other
Q96JG6,,other,
Q96JG8,,,other
Q96JH7,3.4.19,other,other
Q96JH8,,,other
Q96JI7,,other,
Q96JJ3,,other,other
Q96JJ6,,other,other
Q96JJ7,other,Endoplasmic reticulum membrane,other
Q96JK2,,,2.130.10.10
Q96JK9,,other,other
Q96JL9,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96JM2,,Nucleus,3.30.160.60
Q96JM3,,other,3.30.160.60
Q96JM7,,Nucleus,other
Q96JN0,,Nucleus,1.10.10.60
Q96JN2,,other,other
Q96JP0,,,other
Q96JP5,2.3.2,Nucleus,3.30.160.60
Q96JP9,,Cell membrane,other
Q96JQ5,,Membrane,
Q96JS3,,,other
Q96JW4,,Cell membrane,other
Q96JX3,,other,other
Q96JY0,,"Cytoplasm, Nucleus",other
Q96JY6,,other,other
Q96JZ2,,"Cytoplasm, Nucleus",other
Q96K12,other,other,other
Q96K19,2.3.2,Endoplasmic reticulum membrane,other
Q96K21,,other,other
Q96K30,,other,
Q96K76,3.4.19,Cytoplasm,other
Q96K78,,Membrane,other
Q96K80,,Nucleus,other
Q96K83,,Nucleus,3.30.160.60
Q96KA5,,Endoplasmic reticulum membrane,
Q96KB5,other,,1.10.510.10
Q96KC8,,other,other
Q96KG7,,other,other
Q96KG9,,other,other
Q96KK3,,Cell membrane,other
Q96KK4,,Cell membrane,1.20.1070.10
Q96KK5,,other,other
Q96KM6,,Nucleus,3.30.160.60
Q96KN3,,Nucleus,1.10.10.60
Q96KN4,,Cytoplasm,other
Q96KN7,,other,other
Q96KN8,2.3.1,other,other
Q96KP1,,other,2.60.40.10
Q96KP4,other,Cytoplasm,other
Q96KP6,,,other
Q96KQ4,,"Cytoplasm, Nucleus",other
Q96KQ7,2.1.1,other,other
Q96KR6,,other,
Q96KR7,,other,other
Q96KS0,other,Nucleus,other
Q96KV7,,other,2.130.10.10
Q96L08,,Cell membrane,other
Q96L12,,other,other
Q96L21,,Cytoplasm,other
Q96L34,2.7.11,other,other
Q96L42,,Membrane,other
Q96L46,,other,other
Q96L50,,Nucleus,3.80.10.10
Q96L58,2.4.1,other,other
Q96L73,2.1.1,other,other
Q96L92,,other,other
Q96L93,,other,other
Q96LA5,,Cell membrane,2.60.40.10
Q96LA6,,Cell membrane,2.60.40.10
Q96LA8,2.1.1,Nucleus,other
Q96LB1,,Cell membrane,1.20.1070.10
Q96LB2,,Cell membrane,1.20.1070.10
Q96LB3,,other,
Q96LB4,,,other
Q96LB8,,Secreted,other
Q96LB9,,Secreted,other
Q96LC7,,other,2.60.40.10
Q96LC9,,,
Q96LD4,2.3.2,"Cytoplasm, Nucleus",other
Q96LD8,other,,
Q96LI5,other,"Cytoplasm, Nucleus",other
Q96LI6,,"Nucleus, Cytoplasm",other
Q96LJ7,other,other,other
Q96LJ8,,other,
Q96LK0,,other,
Q96LL4,,,
Q96LL9,,Mitochondrion inner membrane,other
Q96LM5,,,
Q96LM6,,"Nucleus, Cytoplasm",
