identifier,phrog,product,function
phage_3941,5073,tail fiber protein,tail
phage_3942,63,anti-repressor Ant,transcription regulation
phage_3943,1373,transcriptional regulator,transcription regulation
phage_3944,396,minor tail protein,tail
phage_3945,9206,major head protein,head and packaging
phage_3946,38058,tail fiber protein,tail
phage_3947,116,DNA methyltransferase,other
phage_3948,227,tail sheath stabilizer,tail
phage_3949,222,tail completion or Neck1 protein,connector
phage_3950,363,DNA methyltransferase,other
phage_3951,4492,tail fiber protein,tail
phage_3952,51,terminase small subunit,head and packaging
phage_3953,195,head-tail adaptor,connector
phage_3954,4901,hydrolase,other
phage_3955,17517,tail protein,tail
phage_3956,24,tail length tape measure protein,tail
phage_3957,238,major tail protein,tail
phage_3958,2499,,unknown function
phage_3959,7032,tail fiber protein,tail
phage_3960,47,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_3961,906,DNA polymerase/primase,"DNA, RNA and nucleotide metabolism"
phage_3962,177,baseplate hub,tail
phage_3963,279,tail sheath,tail
phage_3964,5073,tail fiber protein,tail
phage_3965,3570,,unknown function
phage_3966,116,DNA methyltransferase,other
phage_3967,93,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3968,78,tail terminator,connector
phage_3969,58,tail length tape measure protein,tail
phage_3970,13,Rz-like spanin,lysis
phage_3971,5846,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_3972,4540,baseplate hub and tail lysozyme,tail
phage_3973,28263,tail fiber protein,tail
phage_3974,1400,Srd anti-sigma factor,"moron, auxiliary metabolic gene and host takeover"
phage_3975,894,endolysin,lysis
phage_3976,36964,terminase large subunit,head and packaging
phage_3977,1051,minor head protein inhibitor of protease,head and packaging
phage_3978,743,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_3979,94,head maturation protease,head and packaging
phage_3980,181,endolysin,lysis
phage_3981,355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_3982,553,minor tail protein,tail
phage_3983,11393,tail fiber protein,tail
phage_3984,8156,methyltransferase,other
phage_3985,5668,tail fiber protein,tail
phage_3986,3064,terminase,head and packaging
phage_3987,220,minor head protein and DNA pilot,head and packaging
phage_3988,7434,,unknown function
phage_3989,1468,transcriptional repressor,transcription regulation
phage_3990,20284,virion structural protein,head and packaging
phage_3991,2579,ParB C-terminal domain,"DNA, RNA and nucleotide metabolism"
phage_3992,18404,hydrolase,other
phage_3993,938,endolysin,lysis
phage_3994,452,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3995,380,endolysin,lysis
phage_3996,290,minor tail protein,tail
phage_3997,70,major head protein,head and packaging
phage_3998,12,portal protein,head and packaging
phage_3999,71,head-tail adaptor Ad1,connector
phage_4000,1942,tail length tape measure protein,tail
phage_4001,18345,tail fiber protein,tail
phage_4002,445,terminase small subunit,head and packaging
phage_4003,2662,portal protein,head and packaging
phage_4004,13,Rz-like spanin,lysis
phage_4005,139,deoxynucleoside monophosphate kinase,other
phage_4006,14478,virion structural protein,head and packaging
phage_4007,38,terminase large subunit,head and packaging
phage_4008,8462,tail length tape measure protein,tail
phage_4009,3674,,unknown function
phage_4010,3513,endolysin,lysis
phage_4011,34252,endolysin,lysis
phage_4012,592,thymidine kinase,other
phage_4013,34252,endolysin,lysis
phage_4014,1550,QueC-like queuosine biosynthesis,"moron, auxiliary metabolic gene and host takeover"
phage_4015,207,head maturation protease,head and packaging
phage_4016,240,head protein,head and packaging
phage_4017,1640,tail protein,tail
phage_4018,30,minor tail protein,tail
phage_4019,697,structural protein,head and packaging
phage_4020,22278,minor tail protein,tail
phage_4021,19618,tail collar protein,tail
phage_4022,2,terminase large subunit,head and packaging
phage_4023,214,Rz-like spanin,lysis
phage_4024,1,integrase,integration and excision
phage_4025,790,endolysin,lysis
phage_4026,4492,tail fiber protein,tail
phage_4027,33406,tail fiber protein,tail
phage_4028,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism"
phage_4029,694,baseplate hub and tail lysozyme,tail
phage_4030,62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4031,45,tail tube,tail
phage_4032,335,phosphatase,other
phage_4033,140,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_4034,3493,minor tail protein,tail
phage_4035,7808,,unknown function
phage_4036,190,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_4037,28263,tail fiber protein,tail
phage_4038,509,terminase small subunit,head and packaging
phage_4039,14478,virion structural protein,head and packaging
phage_4040,1052,head assembly,head and packaging
phage_4041,803,host nuclease inhibitor,"moron, auxiliary metabolic gene and host takeover"
phage_4042,438,baseplate wedge subunit,tail
phage_4043,1267,Rz-like spanin,lysis
phage_4044,894,endolysin,lysis
phage_4045,1110,endolysin,lysis
phage_4046,11,baseplate spike,tail
phage_4047,2443,amidoligase enzyme,other
phage_4048,86,ribonucleoside diphosphate reductase small subunit,"DNA, RNA and nucleotide metabolism"
phage_4049,5,tail completion or Neck1 protein,connector
phage_4050,2867,virion structural protein,head and packaging
phage_4051,169,tail completion or Neck1 protein,connector
phage_4052,3575,major tail protein,tail
phage_4053,11778,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_4054,10457,endolysin,lysis
phage_4055,1967,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4056,14138,minor tail protein,tail
phage_4057,442,head-tail adaptor,connector
phage_4058,298,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_4059,332,head-tail adaptor,connector
phage_4060,1182,tail protein,tail
phage_4061,6414,,unknown function
phage_4062,2538,terminase small subunit,head and packaging
phage_4063,3437,major head protein,head and packaging
phage_4064,3639,minor tail protein,tail
phage_4065,351,RNA polymerase sigma factor,transcription regulation
phage_4066,323,"transcriptional regulator, D5-like",transcription regulation
phage_4067,422,major head protein,head and packaging
phage_4068,90,endolysin,lysis
phage_4069,25516,virion structural protein,head and packaging
phage_4070,3302,,unknown function
phage_4071,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_4072,7032,tail fiber protein,tail
phage_4073,1052,head assembly,head and packaging
phage_4074,6942,tail fiber protein,tail
phage_4075,236,nucleotide kinase,other
phage_4076,5939,tail protein,tail
phage_4077,449,head-tail adaptor,connector
phage_4078,239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_4079,5,tail completion or Neck1 protein,connector
phage_4080,9729,tail fiber protein,tail
phage_4081,23384,lipoprotein,other
phage_4082,23,tail sheath,tail
phage_4083,1591,tail fiber protein,tail
phage_4084,33370,,unknown function
phage_4085,277,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_4086,2837,tail protein,tail
phage_4087,4,transcriptional repressor,transcription regulation
phage_4088,28102,,unknown function
phage_4089,1740,RNA polymerase sigma factor,transcription regulation
phage_4090,2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_4091,19943,virion structural protein,head and packaging
phage_4092,3336,tail length tape measure protein,tail
phage_4093,123,tail terminator,connector
phage_4094,1213,RelE-like toxin,"moron, auxiliary metabolic gene and host takeover"
phage_4095,991,tail length tape measure protein,tail
phage_4096,4602,transglycosylase,other
phage_4097,1095,,unknown function
phage_4098,2880,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_4099,144,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4100,442,head-tail adaptor,connector
phage_4101,19658,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_4102,222,tail completion or Neck1 protein,connector
phage_4103,894,endolysin,lysis
phage_4104,18020,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_4105,6616,tail protein,tail
phage_4106,16,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4107,342,internal virion protein with endolysin domain,head and packaging
phage_4108,3907,tail terminator,connector
phage_4109,240,head protein,head and packaging
phage_4110,1218,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_4111,1716,tail length tape measure protein,tail
phage_4112,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_4113,16277,tail length tape measure protein,tail
phage_4114,18345,tail fiber protein,tail
phage_4115,18345,tail fiber protein,tail
phage_4116,80,head maturation protease,head and packaging
phage_4117,458,protease,other
phage_4118,11355,tail fiber protein,tail
phage_4119,9327,primosomal protein,"DNA, RNA and nucleotide metabolism"
phage_4120,207,head maturation protease,head and packaging
phage_4121,9148,UDP-glucose dehydrogenase,other
phage_4122,112,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_4123,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_4124,29,major head protein,head and packaging
phage_4125,174,dCMP deaminase,"DNA, RNA and nucleotide metabolism"
phage_4126,4704,tail length tape measure protein,tail
phage_4127,19579,transcriptional regulator,transcription regulation
phage_4128,452,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4129,673,head scaffolding protein,head and packaging
phage_4130,11419,tail fiber protein,tail
phage_4131,366,tail fiber protein,tail
phage_4132,9648,tail protein,tail
phage_4133,8455,virion structural protein,head and packaging
phage_4134,3188,co-chaperonin GroES,other
phage_4135,1192,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4136,138,major head protein,head and packaging
phage_4137,1927,tail assembly chaperone,tail
phage_4138,25,head closure Hc1,connector
phage_4139,14076,transcriptional regulator,transcription regulation
phage_4140,894,endolysin,lysis
phage_4141,1313,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4142,38396,tail protein,tail
phage_4143,83,terminase small subunit,head and packaging
phage_4144,4786,cysteine dioxygenase,other
phage_4145,8,transcriptional regulator,transcription regulation
phage_4146,17587,tail fiber protein,tail
phage_4147,363,DNA methyltransferase,other
phage_4148,1302,distal tail protein,tail
phage_4149,9683,protease,other
phage_4150,4053,transcriptional regulator,transcription regulation
phage_4151,678,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_4152,693,tail fiber protein,tail
phage_4153,332,head-tail adaptor,connector
phage_4154,7208,,unknown function
phage_4155,15971,DNA polymerase I,"DNA, RNA and nucleotide metabolism"
phage_4156,505,polynucleotide kinase,other
phage_4157,1339,internal virion protein,head and packaging
phage_4158,513,transposase,integration and excision
phage_4159,231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_4160,126,holin/anti-holin,lysis
phage_4161,8763,tail protein,tail
phage_4162,309,terminase small subunit,head and packaging
phage_4163,491,Mu Gam-like end protection,"DNA, RNA and nucleotide metabolism"
phage_4164,5989,terminase large subunit,head and packaging
phage_4165,457,tail protein,tail
phage_4166,355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_4167,446,tail protein,tail
phage_4168,4636,tail spike protein,tail
phage_4169,337,tail protein,tail
phage_4170,19560,virion structural protein,head and packaging
phage_4171,394,tail protein,tail
phage_4172,146,portal protein,head and packaging
phage_4173,3889,base plate tail tube protein,tail
phage_4174,3304,L-shaped tail fiber protein assembly,tail
phage_4175,216,integrase,integration and excision
phage_4176,11355,tail fiber protein,tail
phage_4177,33,distal tail protein Dit,tail
phage_4178,463,anti-repressor,transcription regulation
phage_4179,3468,,unknown function
phage_4180,1097,Erf-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_4181,239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_4182,99,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4183,2,terminase large subunit,head and packaging
phage_4184,27,tail completion or Neck1 protein,connector
phage_4185,3201,tail fiber protein,tail
phage_4186,48,tail protein,tail
phage_4187,1640,tail protein,tail
phage_4188,12329,virion structural protein,head and packaging
phage_4189,4191,peptidase,other
phage_4190,112,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_4191,1216,portal protein,head and packaging
phage_4192,58,tail length tape measure protein,tail
phage_4193,3022,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_4194,234,late sigma transcription factor,transcription regulation
phage_4195,1506,tail length tape measure protein,tail
phage_4196,5838,virion structural protein,head and packaging
phage_4197,84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_4198,637,head-tail adaptor Ad3,connector
phage_4199,47,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_4200,177,baseplate hub,tail
phage_4201,7637,,unknown function
phage_4202,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_4203,203,baseplate wedge subunit,tail
phage_4204,3188,co-chaperonin GroES,other
phage_4205,529,tail fiber protein,tail
phage_4206,423,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_4207,144,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4208,15433,tail sheath,tail
phage_4209,6218,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_4210,1,integrase,integration and excision
phage_4211,487,NrdD-like anaerobic ribonucleotide reductase large subunit,"moron, auxiliary metabolic gene and host takeover"
phage_4212,35,transcriptional repressor,transcription regulation
phage_4213,10711,,unknown function
phage_4214,3282,sigma factor,transcription regulation
phage_4215,45,tail tube,tail
phage_4216,18611,,unknown function
phage_4217,183,tail chaperone protein,tail
phage_4218,2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_4219,283,major head protein,head and packaging
phage_4220,95,integrase,integration and excision
phage_4221,18293,methyltransferase,other
phage_4222,236,nucleotide kinase,other
phage_4223,2597,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_4224,9729,tail fiber protein,tail
phage_4225,4235,plastoquinol terminal oxidase,"moron, auxiliary metabolic gene and host takeover"
phage_4226,803,host nuclease inhibitor,"moron, auxiliary metabolic gene and host takeover"
phage_4227,538,minor tail protein,tail
phage_4228,430,baseplate hub subunit and tail lysozyme,tail
phage_4229,148,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_4230,82,head closure Hc1,connector
phage_4231,152,RinB-like transcriptional activator,transcription regulation
phage_4232,328,head maturation protease,head and packaging
phage_4233,97,UvsX-like recombinase,other
phage_4234,4578,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4235,74,terminase small subunit,head and packaging
phage_4236,1328,major head protein,head and packaging
phage_4237,679,head closure Hc2,connector
phage_4238,16619,minor head protein,head and packaging
phage_4239,3437,major head protein,head and packaging
phage_4240,3513,endolysin,lysis
phage_4241,12242,tail protein,tail
phage_4242,4583,transcriptional repressor,transcription regulation
phage_4243,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism"
phage_4244,2577,transposase,integration and excision
phage_4245,2,terminase large subunit,head and packaging
phage_4246,1,integrase,integration and excision
phage_4247,2086,,unknown function
phage_4248,7325,CopG-like transcriptional repressor,transcription regulation
phage_4249,621,tail assembly chaperone,tail
phage_4250,8,transcriptional regulator,transcription regulation
phage_4251,3055,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_4252,1841,Abi alpha-like abortive infection mechanism,"moron, auxiliary metabolic gene and host takeover"
phage_4253,19443,minor head protein,head and packaging
phage_4254,315,endolysin,lysis
phage_4255,138,major head protein,head and packaging
phage_4256,3304,L-shaped tail fiber protein assembly,tail
phage_4257,4912,tail fiber assembly,tail
phage_4258,18345,tail fiber protein,tail
phage_4259,260,Bor-like outer membrane protein,other
phage_4260,6977,minor tail protein,tail
phage_4261,1373,transcriptional regulator,transcription regulation
phage_4262,4286,head maturation protease,head and packaging
phage_4263,6952,DNA methyltransferase,other
phage_4264,2941,virion structural protein,head and packaging
phage_4265,124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_4266,161,head closure Hc1,connector
phage_4267,84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_4268,471,methylamine utilization,other
phage_4269,3520,,unknown function
phage_4270,66,excisionase and transcriptional regulator,integration and excision
phage_4271,442,head-tail adaptor,connector
phage_4272,12,portal protein,head and packaging
phage_4273,227,tail sheath stabilizer,tail
phage_4274,442,head-tail adaptor,connector
phage_4275,14690,cAMP-dependent Kef-type K+ transporter,other
phage_4276,158,major tail protein,tail
phage_4277,6465,tail protein,tail
phage_4278,681,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4279,308,internal virion protein,head and packaging
phage_4280,37651,virion structural protein,head and packaging
phage_4281,1035,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_4282,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_4283,6254,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4284,239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_4285,24527,virion structural protein,head and packaging
phage_4286,2340,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4287,22284,tail fiber protein,tail
phage_4288,80,head maturation protease,head and packaging
phage_4289,2589,tail protein,tail
phage_4290,1535,tail length tape measure protein,tail
phage_4291,697,structural protein,head and packaging
phage_4292,2,terminase large subunit,head and packaging
phage_4293,211,head-tail adaptor Ad2,connector
phage_4294,1158,tail assembly chaperone,tail
phage_4295,138,major head protein,head and packaging
phage_4296,1,integrase,integration and excision
phage_4297,35,transcriptional repressor,transcription regulation
phage_4298,5,tail completion or Neck1 protein,connector
phage_4299,274,DNA endonuclease V,"DNA, RNA and nucleotide metabolism"
phage_4300,8468,HAD-superfamily hydrolase,other
phage_4301,10457,endolysin,lysis
phage_4302,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4303,215,structural protein with Ig domain,head and packaging
phage_4304,3927,head scaffolding protein,head and packaging
phage_4305,45,tail tube,tail
phage_4306,1663,dCTP deaminase,"DNA, RNA and nucleotide metabolism"
phage_4307,237,head scaffolding protein,head and packaging
phage_4308,2,terminase large subunit,head and packaging
phage_4309,39,tail assembly protein,tail
phage_4310,2,terminase large subunit,head and packaging
phage_4311,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_4312,168,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_4313,18154,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4314,2712,tail fiber protein,tail
phage_4315,3093,,unknown function
phage_4316,13286,tail protein,tail
phage_4317,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_4318,376,tail protein,tail
phage_4319,2538,terminase small subunit,head and packaging
phage_4320,538,minor tail protein,tail
phage_4321,60,,unknown function
phage_4322,308,internal virion protein,head and packaging
phage_4323,18,minor tail protein,tail
phage_4324,2,terminase large subunit,head and packaging
phage_4325,4204,tail terminator,connector
phage_4326,30742,tail fiber protein,tail
phage_4327,51,terminase small subunit,head and packaging
phage_4328,1740,RNA polymerase sigma factor,transcription regulation
phage_4329,298,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_4330,13246,replisome organizer,"DNA, RNA and nucleotide metabolism"
phage_4331,1794,amidase,lysis
phage_4332,4372,tail length tape measure protein,tail
phage_4333,27169,,unknown function
phage_4334,3430,virion structural protein,head and packaging
phage_4335,22205,,unknown function
phage_4336,3196,,unknown function
phage_4337,323,"transcriptional regulator, D5-like",transcription regulation
phage_4338,388,nucleotidyltransferase,"DNA, RNA and nucleotide metabolism"
phage_4339,6380,DNA methyltransferase,other
phage_4340,9773,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_4341,10045,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4342,9959,tail length tape measure protein,tail
phage_4343,1407,major tail protein,tail
phage_4344,505,polynucleotide kinase,other
phage_4345,241,head morphogenesis,head and packaging
phage_4346,145,portal protein,head and packaging
phage_4347,3142,FabG-like 3-oxoacyl-(acyl-carrier-protein) reductase,"moron, auxiliary metabolic gene and host takeover"
phage_4348,2371,,unknown function
phage_4349,305,tail length tape measure protein,tail
phage_4350,1835,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4351,1373,transcriptional regulator,transcription regulation
phage_4352,1026,Rz-like spanin,lysis
phage_4353,4897,kinase,other
phage_4354,166,tail protein,tail
phage_4355,174,dCMP deaminase,"DNA, RNA and nucleotide metabolism"
phage_4356,78,tail terminator,connector
phage_4357,138,major head protein,head and packaging
phage_4358,17517,tail protein,tail
phage_4359,637,head-tail adaptor Ad3,connector
phage_4360,181,endolysin,lysis
phage_4361,9151,HicB-like antitoxin,"moron, auxiliary metabolic gene and host takeover"
phage_4362,1357,major head protein,head and packaging
phage_4363,17,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_4364,234,late sigma transcription factor,transcription regulation
phage_4365,14178,,unknown function
phage_4366,4912,tail fiber assembly,tail
phage_4367,7838,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_4368,216,integrase,integration and excision
phage_4369,4378,,unknown function
phage_4370,291,endolysin,lysis
phage_4371,3437,major head protein,head and packaging
phage_4372,31,central tail fiber J,tail
phage_4373,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism"
phage_4374,2114,,unknown function
phage_4375,10,major head protein,head and packaging
phage_4376,16241,endolysin,lysis
phage_4377,18345,tail fiber protein,tail
phage_4378,2,terminase large subunit,head and packaging
phage_4379,38,terminase large subunit,head and packaging
phage_4380,986,RNA-binding protein,"DNA, RNA and nucleotide metabolism"
phage_4381,9729,tail fiber protein,tail
phage_4382,1482,terminase small subunit,head and packaging
phage_4383,1198,MutT/NUDIX hydrolase,other
phage_4384,2662,portal protein,head and packaging
phage_4385,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_4386,1663,dCTP deaminase,"DNA, RNA and nucleotide metabolism"
phage_4387,9017,tail fiber protein,tail
phage_4388,6591,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_4389,1252,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_4390,2148,tail fiber protein,tail
phage_4391,2644,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_4392,2030,transcriptional regulator,transcription regulation
phage_4393,8094,tail appendage,tail
phage_4394,34698,,unknown function
phage_4395,5424,ATPase,other
phage_4396,442,head-tail adaptor,connector
phage_4397,906,DNA polymerase/primase,"DNA, RNA and nucleotide metabolism"
phage_4398,565,holin,lysis
phage_4399,66,excisionase and transcriptional regulator,integration and excision
phage_4400,1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover"
phage_4401,28,tail length tape measure protein,tail
phage_4402,23208,virion structural protein,head and packaging
phage_4403,314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4404,2,terminase large subunit,head and packaging
phage_4405,6651,internal virion protein,head and packaging
phage_4406,228,Arc-like repressor,transcription regulation
phage_4407,314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4408,1644,minor coat protein,head and packaging
phage_4409,1644,minor coat protein,head and packaging
phage_4410,1965,,unknown function
phage_4411,945,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4412,909,major head protein,head and packaging
phage_4413,3754,,unknown function
phage_4414,17517,tail protein,tail
phage_4415,8510,virion structural protein,head and packaging
phage_4416,305,tail length tape measure protein,tail
phage_4417,9327,primosomal protein,"DNA, RNA and nucleotide metabolism"
phage_4418,104,portal protein,head and packaging
phage_4419,1067,minor head protein,head and packaging
phage_4420,18,minor tail protein,tail
phage_4421,4628,tail fiber assembly,tail
phage_4422,2488,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4423,1702,transcriptional repressor,transcription regulation
phage_4424,291,endolysin,lysis
phage_4425,207,head maturation protease,head and packaging
phage_4426,31660,tail fiber protein,tail
phage_4427,3088,amidase,lysis
phage_4428,3704,ferredoxin,"moron, auxiliary metabolic gene and host takeover"
phage_4429,589,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4430,332,head-tail adaptor,connector
phage_4431,559,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4432,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_4433,14,minor tail protein,tail
phage_4434,1589,,unknown function
phage_4435,6207,,unknown function
phage_4436,23,tail sheath,tail
phage_4437,11355,tail fiber protein,tail
phage_4438,21,portal protein,head and packaging
phage_4439,7168,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4440,25241,tail length tape measure protein,tail
phage_4441,229,MazG-like pyrophosphatase,other
phage_4442,18345,tail fiber protein,tail
phage_4443,9114,,unknown function
phage_4444,4211,tail length tape measure protein,tail
phage_4445,89,Rz-like spanin,lysis
phage_4446,1073,,unknown function
phage_4447,15265,recombinase,other
phage_4448,351,RNA polymerase sigma factor,transcription regulation
phage_4449,227,tail sheath stabilizer,tail
phage_4450,80,head maturation protease,head and packaging
phage_4451,3379,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4452,67,DNA methyltransferase,other
phage_4453,3927,head scaffolding protein,head and packaging
phage_4454,103,tail protein,tail
phage_4455,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_4456,17517,tail protein,tail
phage_4457,24545,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4458,279,tail sheath,tail
phage_4459,339,tail length tape measure protein,tail
phage_4460,4900,tail protein,tail
phage_4461,551,DNA topoisomerase II,"DNA, RNA and nucleotide metabolism"
phage_4462,2,terminase large subunit,head and packaging
phage_4463,32233,,unknown function
phage_4464,21789,virion structural protein,head and packaging
phage_4465,746,minor tail protein,tail
phage_4466,708,baseplate wedge subunit,tail
phage_4467,458,protease,other
phage_4468,4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism"
phage_4469,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_4470,5668,tail fiber protein,tail
phage_4471,3277,DnaC-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_4472,25,head closure Hc1,connector
phage_4473,3437,major head protein,head and packaging
phage_4474,57,terminase small subunit,head and packaging
phage_4475,32,tail assembly protein,tail
phage_4476,673,head scaffolding protein,head and packaging
phage_4477,2468,head morphogenesis,head and packaging
phage_4478,2506,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_4479,664,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4480,17840,tail terminator,connector
phage_4481,62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4482,3336,tail length tape measure protein,tail
phage_4483,14342,lytic tail fiber protein,tail
phage_4484,8191,,unknown function
phage_4485,6370,dsDNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4486,701,virion structural protein,head and packaging
phage_4487,1595,terminase small subunit,head and packaging
phage_4488,341,major tail protein,tail
phage_4489,3717,terminase large subunit,head and packaging
phage_4490,219,baseplate wedge subunit,tail
phage_4491,53,head maturation protease,head and packaging
phage_4492,44,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4493,237,head scaffolding protein,head and packaging
phage_4494,1337,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4495,8010,tail length tape measure protein,tail
phage_4496,3269,tail protein,tail
phage_4497,308,internal virion protein,head and packaging
phage_4498,445,terminase small subunit,head and packaging
phage_4499,54,DksA-like zinc-finger protein,other
phage_4500,1373,transcriptional regulator,transcription regulation
phage_4501,234,late sigma transcription factor,transcription regulation
phage_4502,33,distal tail protein Dit,tail
phage_4503,9327,primosomal protein,"DNA, RNA and nucleotide metabolism"
phage_4504,1990,Cas4-domain exonuclease,"DNA, RNA and nucleotide metabolism"
phage_4505,1980,tail fiber protein,tail
phage_4506,457,tail protein,tail
phage_4507,2606,terminase small subunit,head and packaging
phage_4508,166,tail protein,tail
phage_4509,57,terminase small subunit,head and packaging
phage_4510,5939,tail protein,tail
phage_4511,1206,terminase small subunit,head and packaging
phage_4512,1198,MutT/NUDIX hydrolase,other
phage_4513,1193,hemolysin,other
phage_4514,617,major head protein,head and packaging
phage_4515,4663,,unknown function
