identifier,phrog,product,function,product_category
phage_3283,3139,aminotransferase,other,transferases
phage_3284,742,acetyltransferase,other,transferases
phage_3285,37948,virion structural protein,head and packaging,structural
phage_3286,16,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3287,1328,major head protein,head and packaging,major_capsid
phage_3288,26878,virion structural protein,head and packaging,structural
phage_3289,20658,head decoration,head and packaging,minor_capsid
phage_3290,474,phosphofructokinase,other,
phage_3291,1535,tail length tape measure protein,tail,tail_tape_measure
phage_3292,5718,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3293,1887,tail protein,tail,
phage_3294,2034,,unknown function,
phage_3295,1252,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3296,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_3297,57,terminase small subunit,head and packaging,dna_packaging
phage_3298,3753,portal protein,head and packaging,portal
phage_3299,3377,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3300,430,baseplate hub subunit and tail lysozyme,tail,baseplate
phage_3301,2662,portal protein,head and packaging,portal
phage_3302,807,major tail protein with Ig-like domain,tail,major_tail
phage_3303,1373,transcriptional regulator,transcription regulation,transcription_regulation
phage_3304,170,PhoH-like phosphate starvation-inducible,other,
phage_3305,4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism",
phage_3306,2048,tail protein,tail,
phage_3307,2159,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_3308,10356,virion structural protein,head and packaging,structural
phage_3309,1640,tail protein,tail,
phage_3310,255,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_3311,24671,integrase,integration and excision,recombination
phage_3312,35,transcriptional repressor,transcription regulation,transcription_regulation
phage_3313,13972,DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_3314,14342,lytic tail fiber protein,tail,minor_tail
phage_3315,4856,nucleoside triphosphate pyrophosphohydrolase,other,hydrolases
phage_3316,3914,tail assembly chaperone,tail,tail_assembly
phage_3317,854,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover",
phage_3318,6218,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_3319,25852,virion structural protein,head and packaging,structural
phage_3320,1197,tail protein,tail,
phage_3321,249,porphyrin biosynthesis,"moron, auxiliary metabolic gene and host takeover",
phage_3322,2359,holin,lysis,lysis
phage_3323,6681,terminase large subunit,head and packaging,dna_packaging
phage_3324,45,tail tube,tail,
phage_3325,82,head closure Hc1,connector,head_assembly
phage_3326,305,tail length tape measure protein,tail,tail_tape_measure
phage_3327,858,starvation-inducible transcriptional regulator,transcription regulation,transcription_regulation
phage_3328,544,major head protein,head and packaging,major_capsid
phage_3329,5046,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3330,697,structural protein,head and packaging,structural
phage_3331,2013,lytic tail protein,tail,
phage_3332,9370,tail fiber protein,tail,minor_tail
phage_3333,3171,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3334,22502,methyltransferase,other,dna_modification
phage_3335,774,,unknown function,
phage_3336,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_3337,2392,ABC transporter,"moron, auxiliary metabolic gene and host takeover",
phage_3338,20595,,unknown function,
phage_3339,4067,transglycosylase,other,
phage_3340,9019,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_3341,2871,tail protein,tail,
phage_3342,84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_3343,13163,baseplate wedge subunit,tail,baseplate
phage_3344,11190,virion structural protein,head and packaging,structural
phage_3345,4692,antitoxin from a toxin-antitoxin system,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_3346,19458,primase,"DNA, RNA and nucleotide metabolism",
phage_3347,26324,DNA methyltransferase,other,dna_modification
phage_3348,4912,tail fiber assembly,tail,
phage_3349,14917,tail length tape measure protein,tail,tail_tape_measure
phage_3350,17587,tail fiber protein,tail,minor_tail
phage_3351,9570,tail length tape measure protein,tail,tail_tape_measure
phage_3352,18345,tail fiber protein,tail,minor_tail
phage_3353,696,major head protein,head and packaging,major_capsid
phage_3354,36784,NAD synthetase,other,ligases
phage_3355,11690,tail protein,tail,
phage_3356,80,head maturation protease,head and packaging,head_assembly
phage_3357,255,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_3358,6958,virion structural protein,head and packaging,structural
phage_3359,32294,baseplate wedge subunit,tail,baseplate
phage_3360,488,CpeT-like antenna protein,"moron, auxiliary metabolic gene and host takeover",
phage_3361,3225,adaptor Ad4,connector,
phage_3362,156,portal protein,head and packaging,portal
phage_3363,6651,internal virion protein,head and packaging,structural
phage_3364,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_3365,8156,methyltransferase,other,dna_modification
phage_3366,2606,terminase small subunit,head and packaging,dna_packaging
phage_3367,22502,methyltransferase,other,dna_modification
phage_3368,598,DNA ejection,"DNA, RNA and nucleotide metabolism",
phage_3369,339,tail length tape measure protein,tail,tail_tape_measure
phage_3370,891,terminase small subunit,head and packaging,dna_packaging
phage_3371,4102,terminase small subunit,head and packaging,dna_packaging
phage_3372,13890,,unknown function,
phage_3373,196,baseplate hub,tail,baseplate
phage_3374,2071,ATPase,other,
phage_3375,2649,endolysin,lysis,lysis
phage_3376,1682,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_3377,4636,tail spike protein,tail,minor_tail
phage_3378,615,head-tail adaptor,connector,connector
phage_3379,1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover",
phage_3380,2538,terminase small subunit,head and packaging,dna_packaging
phage_3381,1160,baseplate protein,tail,baseplate
phage_3382,1623,virion structural protein,head and packaging,structural
phage_3383,207,head maturation protease,head and packaging,head_assembly
phage_3384,45,tail tube,tail,
phage_3385,664,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_3386,1059,head-tail adaptor,connector,connector
phage_3387,35112,,unknown function,
phage_3388,30051,DNA polymerase III theta subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3389,6921,tail fiber protein,tail,minor_tail
phage_3390,18595,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_3391,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_3392,3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_3393,5629,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3394,250,,unknown function,
phage_3395,3869,NAD-dependent DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_3396,1337,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_3397,16412,,unknown function,
phage_3398,2276,tail length tape measure protein,tail,tail_tape_measure
phage_3399,119,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3400,8215,baseplate wedge initiator,tail,baseplate
phage_3401,5448,tail length tape measure protein,tail,tail_tape_measure
phage_3402,6088,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3403,13704,virion structural protein,head and packaging,structural
phage_3404,14131,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_3405,3889,base plate tail tube protein,tail,major_tail
phage_3406,3,transcriptional repressor,transcription regulation,transcription_regulation
phage_3407,10,major head protein,head and packaging,major_capsid
phage_3408,6651,internal virion protein,head and packaging,structural
phage_3409,7,endolysin,lysis,lysis
phage_3410,6958,virion structural protein,head and packaging,structural
phage_3411,6494,antitoxin from a toxin-antitoxin system,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_3412,26502,virion structural protein,head and packaging,structural
phage_3413,16701,peptidase,other,peptidases
phage_3414,70,major head protein,head and packaging,major_capsid
phage_3415,93,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3416,18735,terminase small subunit,head and packaging,dna_packaging
phage_3417,1924,minor tail protein,tail,minor_tail
phage_3418,3408,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_3419,4492,tail fiber protein,tail,minor_tail
phage_3420,12,portal protein,head and packaging,portal
phage_3421,5,tail completion or Neck1 protein,connector,tail_assembly
phage_3422,428,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3423,16,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3424,3419,rolling circle DNA replication initiation,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3425,2710,tail fiber protein,tail,minor_tail
phage_3426,1712,,unknown function,
phage_3427,976,head maturation protease,head and packaging,head_assembly
phage_3428,9959,tail length tape measure protein,tail,tail_tape_measure
phage_3429,9427,head maturation protease,head and packaging,head_assembly
phage_3430,7076,dATP triphosphohydrolase,"DNA, RNA and nucleotide metabolism",hydrolases
phage_3431,971,endolysin,lysis,lysis
phage_3432,80,head maturation protease,head and packaging,head_assembly
phage_3433,1015,tail protein with lysin activity,tail,lysis
phage_3434,12,portal protein,head and packaging,portal
phage_3435,3322,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3436,2059,anti-restriction protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_3437,511,internal virion protein,head and packaging,structural
phage_3438,7950,transcriptional repressor,transcription regulation,transcription_regulation
phage_3439,174,dCMP deaminase,"DNA, RNA and nucleotide metabolism",
phage_3440,304,anti-termination protein Q-like,transcription regulation,
phage_3441,14543,virion structural protein,head and packaging,structural
phage_3442,33406,tail fiber protein,tail,minor_tail
phage_3443,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_3444,1,integrase,integration and excision,recombination
phage_3445,6090,tail length tape measure protein,tail,tail_tape_measure
phage_3446,1492,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3447,907,tail sheath,tail,major_tail
phage_3448,4492,tail fiber protein,tail,minor_tail
phage_3449,19195,virion structural protein,head and packaging,structural
phage_3450,1506,tail length tape measure protein,tail,tail_tape_measure
phage_3451,1740,RNA polymerase sigma factor,transcription regulation,transcription
phage_3452,24369,tail fiber protein,tail,minor_tail
phage_3453,3377,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3454,556,minor head protein,head and packaging,minor_capsid
phage_3455,3677,protease,other,peptidases
phage_3456,864,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3457,8510,virion structural protein,head and packaging,structural
phage_3458,2739,portal protein,head and packaging,portal
phage_3459,91,nicking at origin of replication,"DNA, RNA and nucleotide metabolism",
phage_3460,598,DNA ejection,"DNA, RNA and nucleotide metabolism",
phage_3461,1216,portal protein,head and packaging,portal
phage_3462,179,tail terminator,connector,tail_assembly
phage_3463,12796,tail fiber protein,tail,minor_tail
phage_3464,25111,tail protein,tail,
phage_3465,45,tail tube,tail,
phage_3466,12474,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_3467,1649,metallo-phosphoesterase,other,
phage_3468,12945,ferredoxin,"moron, auxiliary metabolic gene and host takeover",
phage_3469,778,tail assembly protein,tail,tail_assembly
phage_3470,256,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3471,150,baseplate hub,tail,baseplate
phage_3472,3041,cytidyltransferase,other,
phage_3473,2636,tail fiber protein,tail,minor_tail
phage_3474,30509,collagen like minor tail,tail,
phage_3475,3266,tail completion,connector,tail_assembly
phage_3476,10275,,unknown function,
phage_3477,30509,collagen like minor tail,tail,
phage_3478,4636,tail spike protein,tail,minor_tail
phage_3479,5062,tail length tape measure protein,tail,tail_tape_measure
phage_3480,33269,,unknown function,
phage_3481,104,portal protein,head and packaging,portal
phage_3482,697,structural protein,head and packaging,structural
phage_3483,10938,virion structural protein,head and packaging,structural
phage_3484,337,tail protein,tail,
phage_3485,2867,virion structural protein,head and packaging,structural
phage_3486,894,endolysin,lysis,lysis
phage_3487,244,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_3488,669,endolysin,lysis,lysis
phage_3489,3287,virion structural protein,head and packaging,structural
phage_3490,38058,tail fiber protein,tail,minor_tail
phage_3491,1880,PnuC-like nicotinamide mononucleotide transport,"moron, auxiliary metabolic gene and host takeover",
phage_3492,1314,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3493,33244,tail fiber protein,tail,minor_tail
phage_3494,31,central tail fiber J,tail,
phage_3495,1689,nucleotide kinase,other,
phage_3496,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_3497,4779,transcriptional regulator,transcription regulation,transcription_regulation
phage_3498,1827,ATP-dependent protease,other,peptidases
phage_3499,418,internal virion protein,head and packaging,structural
phage_3500,21357,endolysin,lysis,lysis
phage_3501,22602,virion structural protein,head and packaging,structural
phage_3502,13126,"beta-1,4-glycosyltransferase","moron, auxiliary metabolic gene and host takeover",transferases
phage_3503,20878,tail fiber protein,tail,minor_tail
phage_3504,3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_3505,487,NrdD-like anaerobic ribonucleotide reductase large subunit,"moron, auxiliary metabolic gene and host takeover",oxidoreductases
phage_3506,251,MokW-like host killing,"moron, auxiliary metabolic gene and host takeover",host_takeover
phage_3507,10093,tail length tape measure protein,tail,tail_tape_measure
phage_3508,1645,virion structural protein,head and packaging,structural
phage_3509,2534,released from the phage upon host infection,other,
phage_3510,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_3511,21,portal protein,head and packaging,portal
phage_3512,11011,long tail fiber protein distal subunit,tail,minor_tail
phage_3513,314,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3514,7767,metallo-endopeptidase,other,peptidases
phage_3515,99,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3516,14121,virion structural protein,head and packaging,structural
phage_3517,1026,Rz-like spanin,lysis,lysis
phage_3518,95,integrase,integration and excision,recombination
phage_3519,8510,virion structural protein,head and packaging,structural
phage_3520,6129,,unknown function,
phage_3521,6121,virion structural protein,head and packaging,structural
phage_3522,7326,,unknown function,
phage_3523,2606,terminase small subunit,head and packaging,dna_packaging
phage_3524,57,terminase small subunit,head and packaging,dna_packaging
phage_3525,394,tail protein,tail,
phage_3526,3884,major tail protein,tail,major_tail
phage_3527,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3528,5448,tail length tape measure protein,tail,tail_tape_measure
phage_3529,5073,tail fiber protein,tail,minor_tail
phage_3530,113,portal protein,head and packaging,portal
phage_3531,13578,dihydrofolate reductase,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_3532,12131,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3533,1506,tail length tape measure protein,tail,tail_tape_measure
phage_3534,16,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3535,1657,head morphogenesis,head and packaging,major_capsid
phage_3536,236,nucleotide kinase,other,
phage_3537,8540,replication initiation O-like,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3538,6942,tail fiber protein,tail,minor_tail
phage_3539,25966,tail length tape measure protein,tail,tail_tape_measure
phage_3540,18522,tail protein,tail,
phage_3541,8280,tail spike protein with colonic acid degradation activity,tail,minor_tail
phage_3542,16826,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3543,18735,terminase small subunit,head and packaging,dna_packaging
phage_3544,80,head maturation protease,head and packaging,head_assembly
phage_3545,16345,primase,"DNA, RNA and nucleotide metabolism",
phage_3546,10030,tail length tape measure protein,tail,tail_tape_measure
phage_3547,1040,peptidase HslV family,other,peptidases
phage_3548,155,Erf-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_3549,973,tail length tape measure protein,tail,tail_tape_measure
phage_3550,9336,,unknown function,
phage_3551,4636,tail spike protein,tail,minor_tail
phage_3552,11872,,unknown function,
phage_3553,5107,amidase,lysis,peptidases
phage_3554,6651,internal virion protein,head and packaging,structural
phage_3555,4580,transcription factor,transcription regulation,transcription
phage_3556,10250,terminase large subunit,head and packaging,dna_packaging
phage_3557,4267,RNA replicase beta subunit,"DNA, RNA and nucleotide metabolism",
phage_3558,3241,,unknown function,
phage_3559,1,integrase,integration and excision,recombination
phage_3560,13515,phosphodiesterase,other,
phage_3561,23,tail sheath,tail,major_tail
phage_3562,32531,,unknown function,
phage_3563,5,tail completion or Neck1 protein,connector,tail_assembly
phage_3564,116,DNA methyltransferase,other,dna_modification
phage_3565,1326,tail assembly chaperone,tail,tail_assembly
phage_3566,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_3567,20448,,unknown function,
phage_3568,4218,anaerobic ribonucleoside reductase large subunit,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_3569,144,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3570,61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_3571,5046,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3572,376,tail protein,tail,
phage_3573,2248,tail protein,tail,
phage_3574,6499,transcriptional regulator,transcription regulation,transcription_regulation
phage_3575,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_3576,959,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3577,2006,major head protein,head and packaging,major_capsid
phage_3578,12305,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_3579,3188,co-chaperonin GroES,other,
phage_3580,2245,nucleoside triphosphate pyrophosphohydrolase,other,hydrolases
phage_3581,1657,head morphogenesis,head and packaging,major_capsid
phage_3582,192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3583,6651,internal virion protein,head and packaging,structural
phage_3584,184,baseplate hub,tail,baseplate
phage_3585,104,portal protein,head and packaging,portal
phage_3586,290,minor tail protein,tail,minor_tail
phage_3587,9474,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3588,16227,virion structural protein,head and packaging,structural
phage_3589,1008,DNA methyltransferase,other,dna_modification
phage_3590,113,portal protein,head and packaging,portal
phage_3591,5385,phosphate transporter subunit,"moron, auxiliary metabolic gene and host takeover",
phage_3592,33320,tail fiber protein,tail,minor_tail
phage_3593,310,transposase,integration and excision,
phage_3594,8688,,unknown function,
phage_3595,430,baseplate hub subunit and tail lysozyme,tail,baseplate
phage_3596,1033,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_3597,16227,virion structural protein,head and packaging,structural
phage_3598,3437,major head protein,head and packaging,major_capsid
phage_3599,22602,virion structural protein,head and packaging,structural
phage_3600,3017,head maturation protease,head and packaging,head_assembly
phage_3601,87,metallo-protease,other,peptidases
phage_3602,10512,virion structural protein,head and packaging,structural
phage_3603,1468,transcriptional repressor,transcription regulation,transcription_regulation
phage_3604,645,Rnase E,"DNA, RNA and nucleotide metabolism",
phage_3605,6700,endolysin,lysis,lysis
phage_3606,2330,unknown function,unknown function,
phage_3607,4372,tail length tape measure protein,tail,tail_tape_measure
phage_3608,28673,tail protein,tail,
phage_3609,355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism",
phage_3610,9729,tail fiber protein,tail,minor_tail
phage_3611,801,dATP / dGTP pyrophosphohydrolase,"DNA, RNA and nucleotide metabolism",hydrolases
phage_3612,21962,tail protein,tail,
phage_3613,21214,acetyltransferase,other,transferases
phage_3614,6,baseplate wedge subunit,tail,baseplate
phage_3615,54,DksA-like zinc-finger protein,other,
phage_3616,3904,tail fiber protein,tail,minor_tail
phage_3617,6444,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3618,181,endolysin,lysis,lysis
phage_3619,14076,transcriptional regulator,transcription regulation,transcription_regulation
phage_3620,2643,5'-3' deoxyribonucleotidase,"moron, auxiliary metabolic gene and host takeover",
phage_3621,29,major head protein,head and packaging,major_capsid
phage_3622,34309,,unknown function,
phage_3623,3267,tail protein,tail,
phage_3624,3347,Galactose-3-O-sulfotransferase,"moron, auxiliary metabolic gene and host takeover",
phage_3625,3201,tail fiber protein,tail,minor_tail
phage_3626,394,tail protein,tail,
phage_3627,13,Rz-like spanin,lysis,lysis
phage_3628,1,integrase,integration and excision,recombination
phage_3629,36218,,unknown function,
phage_3630,2967,transcriptional regulator,transcription regulation,transcription_regulation
phage_3631,11393,tail fiber protein,tail,minor_tail
phage_3632,36707,tail fiber protein,tail,minor_tail
phage_3633,33321,,unknown function,
phage_3634,1,integrase,integration and excision,recombination
phage_3635,1642,virion structural protein,head and packaging,structural
phage_3636,1686,tail length tape measure protein,tail,tail_tape_measure
phage_3637,986,RNA-binding protein,"DNA, RNA and nucleotide metabolism",
phage_3638,9361,methyltransferase,other,dna_modification
phage_3639,2941,virion structural protein,head and packaging,structural
phage_3640,4779,transcriptional regulator,transcription regulation,transcription_regulation
phage_3641,4211,tail length tape measure protein,tail,tail_tape_measure
phage_3642,4856,nucleoside triphosphate pyrophosphohydrolase,other,hydrolases
phage_3643,20660,tail length tape measure protein,tail,tail_tape_measure
phage_3644,27166,tail length tape measure protein,tail,tail_tape_measure
phage_3645,38058,tail fiber protein,tail,minor_tail
phage_3646,290,minor tail protein,tail,minor_tail
phage_3647,5810,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3648,424,phosphoadenosine phosphosulfate reductase,"moron, auxiliary metabolic gene and host takeover",oxidoreductases
phage_3649,21963,alkylated DNA repair,"DNA, RNA and nucleotide metabolism",
phage_3650,26616,lipoprotein,other,membrane_proteins
phage_3651,1465,terminase,head and packaging,
phage_3652,5668,tail fiber protein,tail,minor_tail
phage_3653,5573,terminase large subunit,head and packaging,dna_packaging
phage_3654,24759,methyltransferase,other,dna_modification
phage_3655,334,major head protein,head and packaging,major_capsid
phage_3656,56,DNA methyltransferase,other,dna_modification
phage_3657,57,terminase small subunit,head and packaging,dna_packaging
phage_3658,14917,tail length tape measure protein,tail,tail_tape_measure
phage_3659,12312,virion structural protein,head and packaging,structural
phage_3660,843,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_3661,18522,tail protein,tail,
phage_3662,213,portal protein,head and packaging,portal
phage_3663,22502,methyltransferase,other,dna_modification
phage_3664,216,integrase,integration and excision,recombination
phage_3665,156,portal protein,head and packaging,portal
phage_3666,25,head closure Hc1,connector,head_assembly
phage_3667,5989,terminase large subunit,head and packaging,dna_packaging
phage_3668,7303,,unknown function,
phage_3669,9001,tail assembly chaperone,tail,tail_assembly
phage_3670,8510,virion structural protein,head and packaging,structural
phage_3671,325,Dda-like helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3672,2524,,unknown function,
phage_3673,13163,baseplate wedge subunit,tail,baseplate
phage_3674,9474,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3675,873,endolysin,head and packaging,lysis
phage_3676,13163,baseplate wedge subunit,tail,baseplate
phage_3677,22602,virion structural protein,head and packaging,structural
phage_3678,7378,baseplate protein,tail,baseplate
phage_3679,863,tail fiber assembly,tail,
phage_3680,525,,unknown function,
phage_3681,192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3682,704,DNA repair exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_3683,3427,holin,lysis,lysis
phage_3684,7245,anti-restriction protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_3685,279,tail sheath,tail,major_tail
phage_3686,23,tail sheath,tail,major_tail
phage_3687,21308,radical SAM domain-containing protein,other,
phage_3688,1674,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_3689,363,DNA methyltransferase,other,dna_modification
phage_3690,107,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_3691,991,tail length tape measure protein,tail,tail_tape_measure
phage_3692,18345,tail fiber protein,tail,minor_tail
phage_3693,1,integrase,integration and excision,recombination
phage_3694,6079,tail protein,tail,
phage_3695,5499,host range and adsorption protein,"moron, auxiliary metabolic gene and host takeover",host_takeover
phage_3696,445,terminase small subunit,head and packaging,dna_packaging
phage_3697,5668,tail fiber protein,tail,minor_tail
phage_3698,1249,acetyltransferase,other,transferases
phage_3699,31,central tail fiber J,tail,
phage_3700,19943,virion structural protein,head and packaging,structural
phage_3701,8510,virion structural protein,head and packaging,structural
phage_3702,179,tail terminator,connector,tail_assembly
phage_3703,1044,endolysin,lysis,lysis
phage_3704,14147,transcriptional regulator,transcription regulation,transcription_regulation
phage_3705,29493,,unknown function,
phage_3706,418,internal virion protein,head and packaging,structural
phage_3707,9959,tail length tape measure protein,tail,tail_tape_measure
phage_3708,3427,holin,lysis,lysis
phage_3709,26492,ATPase,other,
phage_3710,9007,,unknown function,
phage_3711,2163,virion structural protein,head and packaging,structural
phage_3712,1740,RNA polymerase sigma factor,transcription regulation,transcription
phage_3713,3519,tail length tape measure protein,tail,tail_tape_measure
phage_3714,11439,tail fiber protein,tail,minor_tail
phage_3715,2139,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_3716,4715,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_3717,8460,tail fiber protein,tail,minor_tail
phage_3718,48,tail protein,tail,
phage_3719,1026,Rz-like spanin,lysis,lysis
phage_3720,141,terminase small subunit,head and packaging,dna_packaging
phage_3721,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_3722,1835,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_3723,7121,tail fiber protein,tail,minor_tail
phage_3724,530,head maturation protease,head and packaging,head_assembly
phage_3725,23,tail sheath,tail,major_tail
phage_3726,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_3727,17587,tail fiber protein,tail,minor_tail
phage_3728,13,Rz-like spanin,lysis,lysis
phage_3729,1373,transcriptional regulator,transcription regulation,transcription_regulation
phage_3730,4636,tail spike protein,tail,minor_tail
phage_3731,195,head-tail adaptor,connector,connector
phage_3732,337,tail protein,tail,
phage_3733,5939,tail protein,tail,
phage_3734,16999,Fe-S oxidoreductase,other,oxidoreductases
phage_3735,785,holin,lysis,lysis
phage_3736,16823,tail length tape measure protein,tail,tail_tape_measure
phage_3737,5412,,unknown function,
phage_3738,1482,terminase small subunit,head and packaging,dna_packaging
phage_3739,14168,nuclease,"DNA, RNA and nucleotide metabolism",
phage_3740,873,endolysin,head and packaging,lysis
phage_3741,1141,tail fiber protein,tail,minor_tail
phage_3742,18345,tail fiber protein,tail,minor_tail
phage_3743,178,high light inducible protein,other,
phage_3744,355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism",
phage_3745,3704,ferredoxin,"moron, auxiliary metabolic gene and host takeover",
phage_3746,1249,acetyltransferase,other,transferases
phage_3747,7168,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_3748,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3749,123,tail terminator,connector,tail_assembly
phage_3750,8780,minor tail protein,tail,minor_tail
phage_3751,4527,short tail fiber protein,tail,minor_tail
phage_3752,4271,tail protein,tail,
phage_3753,5342,tail fiber protein,tail,minor_tail
phage_3754,5838,virion structural protein,head and packaging,structural
phage_3755,1373,transcriptional regulator,transcription regulation,transcription_regulation
phage_3756,7269,integrase,integration and excision,recombination
phage_3757,430,baseplate hub subunit and tail lysozyme,tail,baseplate
phage_3758,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_3759,33464,,unknown function,
phage_3760,598,DNA ejection,"DNA, RNA and nucleotide metabolism",
phage_3761,19394,tail fiber protein,tail,minor_tail
phage_3762,261,baseplate wedge subunit,tail,baseplate
phage_3763,2234,tail spike protein,tail,minor_tail
