identifier,Order,Family,Genus,protein_category,Protein families
F8J2E5,Squamata,Elapidae,Drysdalia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
O93473,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
F8J2E6,Squamata,Elapidae,Drysdalia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01386,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
F5CPD7,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P0CB06,Squamata,Elapidae,Oxyuranus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
F8J2D7,Squamata,Elapidae,Drysdalia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q9YGW9,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P0DSM9,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
Q9YGX0,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01387,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q9YGX1,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01421,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q9YGJ6,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
C0HKZ8,Squamata,Elapidae,Walterinnesia,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group XIX sub-subfamily"
C1IC47,Squamata,Elapidae,Walterinnesia,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
F8J2B3,Squamata,Elapidae,Drysdalia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
F8J2F2,Squamata,Elapidae,Drysdalia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01384,Squamata,Elapidae,Notechis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q2VBN3,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P01389,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01419,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01417,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P0DSN1,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q91996,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily"
P01420,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q2VBN1,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P01388,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01422,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
F8J2E1,Squamata,Elapidae,Drysdalia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01385,Squamata,Elapidae,Acanthophis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q2VBN7,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P86098,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
Q91137,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily"
Q9YGI2,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
P01380,Squamata,Hydrophiidae,Hydrophis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01425,Squamata,Elapidae,Hemachatus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01383,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q06ZW0,Squamata,Colubridae,Boiga,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily"
P01396,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q9W7J5,Squamata,Elapidae,Pseudonaja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q9W7J7,Squamata,Elapidae,Pseudonaja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily"
P01409,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P86538,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P86095,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q9W7K0,Squamata,Elapidae,Pseudonaja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily"
P86094,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P86423,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
P19003,Squamata,Elapidae,Aspidelaps,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XVI sub-subfamily"
Q5UFR8,Squamata,Hydrophiidae,Hydrophis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P60307,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P86097,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P60310,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q69CJ8,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q2VBP8,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P60306,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P60311,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P60774,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P86096,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
P85520,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
C0HJD7,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P59276,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01390,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P83490,Squamata,Colubridae,Coelognathus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily"
A8HDK1,Squamata,Elapidae,Pseudonaja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily"
F5CPD6,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P0DKR6,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Mambalgin sub-subfamily"
F5CPD8,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01454,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
O42255,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
O42256,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
O57327,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
F5CPD3,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
O93472,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
A7X4S7,Squamata,Elapidae,Oxyuranus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
Q45Z11,Squamata,Elapidae,Oxyuranus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q91135,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P14612,Squamata,Elapidae,Pseudechis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01434,Squamata,Elapidae,Acanthophis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P10457,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q8AY49,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
Q802B3,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
P62375,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily"
P82462,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type C muscarinic toxin sub-subfamily"
P82849,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P86419,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P0C8R6,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P60616,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P59275,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q53B54,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q9YGJ0,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group V sub-subfamily"
P81031,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P14613,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P10456,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q8UW29,Squamata,Hydrophiidae,Hydrophis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
O93471,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P82935,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
Q9PST3,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q9PUB7,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XII sub-subfamily"
O93422,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
P01397,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q9DEQ3,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group VIII (haditoxin) sub-subfamily"
P01468,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P01413,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Antiplatelet toxin sub-subfamily"
Q9W6W6,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P01455,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q91136,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q9W7J9,Squamata,Elapidae,Pseudonaja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily"
P22947,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, L-type calcium blocker sub-subfamily"
P01432,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01433,Squamata,Elapidae,Hemachatus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
F5CPD9,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
C6JUP1,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P0DQQ3,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type C muscarinic toxin sub-subfamily"
P0DQQ2,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
A2CKF6,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
P25518,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P25671,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P0DUK7,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily"
Q53B47,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
Q53B56,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
F5CPD5,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P01471,Squamata,Elapidae,Hemachatus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IB cytotoxin sub-subfamily"
P07526,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01424,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P19958,Squamata,Hydrophiidae,Aipysurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
C0HM09,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P01443,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P14541,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily"
A0A2P1BSU3,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P60304,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P80495,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
Q8UW27,Squamata,Hydrophiidae,Hydrophis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P17696,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P01452,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q800Y3,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group IX sub-subfamily"
A7X3M9,Squamata,Dipsadidae,Erythrolamprus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
P13495,Squamata,Elapidae,Pseudonaja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q98960,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P25668,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
A8S6A4,Squamata,Elapidae,Austrelaps,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
A8HDJ7,Squamata,Elapidae,Cryptophis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P60303,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
Q98962,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
A7X6I4,Squamata,Colubridae,Thrasops,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
A7X6J0,Squamata,Colubridae,Dispholidus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
Q7T2I5,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
A8HDJ4,Squamata,Elapidae,Pseudechis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
A7X3M3,Squamata,Lamprophiidae,Psammophis,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
A8HDJ5,Squamata,Elapidae,Tropidechis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P83345,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
A8HDJ8,Squamata,Elapidae,Cryptophis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P0CH80,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P83346,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group III sub-subfamily"
A8HDJ9,Squamata,Elapidae,Hoplocephalus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q7T3J2,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
A8HDK0,Squamata,Elapidae,Notechis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P0DSN0,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P60234,Squamata,Elapidae,Dendroaspis,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P10459,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P60302,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
A7X3V0,Squamata,Colubridae,Telescopus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily"
P01456,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P86424,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily"
A6MFK4,Squamata,Elapidae,Demansia,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P60309,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P01448,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P0C8R7,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P86540,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
A7X4T2,Squamata,Elapidae,Oxyuranus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
A7X4Q3,Squamata,Elapidae,Oxyuranus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
A8N285,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
P79810,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P60301,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
A0A2P1BST7,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
A0A2P1BSS9,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
Q98957,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
P0C8R8,Squamata,Elapidae,Laticauda,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
A0A2P1BSS8,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
B3EWF8,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P80156,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily"
Q802B2,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
P79688,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group IX sub-subfamily"
P58370,Squamata,Elapidae,Micrurus,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group IV sub-subfamily"
P14534,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XVIII sub-subfamily"
P0C555,Squamata,Elapidae,Bungarus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
Q69CK0,Squamata,Elapidae,Ophiophagus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily"
P60773,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P60772,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
P60771,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily"
A8HDK2,Squamata,Elapidae,Oxyuranus,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily"
P01399,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily"
P01465,Squamata,Elapidae,Naja,three_finger_toxin,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily"
