identifier,Order,Family,Genus,Protein families,Protein names,embeddings_labels,blast_labels
A2CKF6,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Neurotoxin 3FTx-8a (3FTx-VIIIa),4,15
P25518,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Adrenergic toxin rho-elapitoxin-Dp1b (rho-EPTX-Dp1b) (Muscarinic toxin CM-3) (Protein CM-3),4,15
P25671,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 3 (Toxin C),4,15
P0DUK7,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",Mu-elapitoxin-Na1a (Mu-EPTX-Na1a),4,15
Q53B47,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily",Short neurotoxin OH-5 (Three-finger toxin) (3FTx),4,15
Q53B56,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin OH-57,4,15
F5CPD5,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Three-finger toxin MALT0051C (MALT0051C),4,15
P01471,Squamata,Elapidae,Hemachatus,"Snake three-finger toxin family, Short-chain subfamily, Type IB cytotoxin sub-subfamily",Cytotoxin 1 (Hemolytic protein 12B),4,15
P07526,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 3 (Neurotoxin CM-9),4,15
P01424,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (Neurotoxin D),4,15
P19958,Squamata,Hydrophiidae,Aipysurus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin C,4,15
C0HM09,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Alpha-elapitoxin-Nn3a (Long neurotoxin 7) (Long-chain alpha-neurotoxin Nn3a),4,15
P01443,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 4 (CTX-4M) (CTX4) (Cardiotoxin A4) (CTX A4) (Cardiotoxin analog IV) (CTX IV),4,15
P14541,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",Cytotoxin homolog (Cytotoxin-like basic protein) (CLBP),4,15
A0A2P1BSU3,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Mipartoxin-3 (Mipartoxin-III) (Three-finger toxin-04) (3FTx-04),4,15
P60304,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1 (CX1) (Cardiotoxin 1) (CTX-1) (CTX1) (Cardiotoxin A1) (CTX A1) (Cardiotoxin I) (Cardiotoxin analog I) (CTX I),4,15
P80495,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Adrenergic toxin rho-elapitoxin-Dp1a (rho-EPTX-Dp1a) (Muscarinic toxin beta) (MT-beta),4,15
Q8UW27,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin SN160,4,15
P17696,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Synergistic-like venom protein,4,15
P01452,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 4 (CTX M3) (Cardiotoxin VII4) (Cytotoxin V(II)4),4,15
Q800Y3,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group IX sub-subfamily",Neurotoxin-like protein pMD18-NTL3,4,15
A7X3M9,Squamata,Dipsadidae,Erythrolamprus,"Snake three-finger toxin family, Ancestral subfamily",Probable weak neurotoxin 3FTx-Lio1,4,15
P13495,Squamata,Elapidae,Pseudonaja,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Pseudonajatoxin b (Long neurotoxin B),4,15
Q98960,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 3b (Cardiotoxin 3b),4,15
P25668,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 1 (Toxin A),4,15
A8S6A4,Squamata,Elapidae,Austrelaps,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (SNTX-1),4,15
A8HDJ7,Squamata,Elapidae,Cryptophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (SNTX-1),4,15
P60303,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 4 (Cytotoxin IV) (Siamextin),4,15
Q98962,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 3d (Cardiotoxin 3d),4,15
A7X6I4,Squamata,Colubridae,Thrasops,"Snake three-finger toxin family, Ancestral subfamily",Toxin 3FTx-Thr5,4,15
A7X6J0,Squamata,Colubridae,Dispholidus,"Snake three-finger toxin family, Ancestral subfamily",Toxin 3FTx-Dis4,4,15
Q7T2I5,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Erabutoxin c (ETXC) (Ec) (Short neurotoxin 1c),4,15
A8HDJ4,Squamata,Elapidae,Pseudechis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (SNTX-1),4,15
A7X3M3,Squamata,Lamprophiidae,Psammophis,"Snake three-finger toxin family, Ancestral subfamily",Toxin 3FTx-Psa1,4,15
A8HDJ5,Squamata,Elapidae,Tropidechis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (SNTX-1),4,15
P83345,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin sagitoxin (Cardiotoxin sagitoxin),4,15
A8HDJ8,Squamata,Elapidae,Cryptophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 2 (SNTX-2),4,15
P0CH80,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1 (NK-CT1),4,15
P83346,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group III sub-subfamily",Bucain,4,15
A8HDJ9,Squamata,Elapidae,Hoplocephalus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (SNTX-1),4,15
Q7T3J2,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily","Alpha-bungarotoxin, isoform A31 (Alpha-BgTx (A31)) (Alpha-bungarotoxin (A31))",4,15
A8HDK0,Squamata,Elapidae,Notechis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (SNTX-1),4,15
P0DSN0,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily",Nakoroxin (Naja kaouthia orphan toxin) (Three-finger toxin) (3FTx),4,15
P60234,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Muscarinic m1-toxin2,4,15
P10459,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin B,4,15
P60302,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 3 (Cardiotoxin-3) (CTX-3) (Ctx3),4,15
A7X3V0,Squamata,Colubridae,Telescopus,"Snake three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily",Toxin 3FTx-Tel4,4,15
P01456,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1 (Toxin V(II)1),4,15
P86424,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Ancestral subfamily",Frontoxin V (FTx V),4,15
A6MFK4,Squamata,Elapidae,Demansia,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin LNTX-1,4,15
P60309,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin SP15d,4,15
P01448,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1 (Cytotoxin V(II)1),4,15
P0C8R7,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Toxin Lc a,4,15
P86540,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 8 (CTX8),4,15
A7X4T2,Squamata,Elapidae,Oxyuranus,"Snake three-finger toxin family, Short-chain subfamily",Three-finger toxin 3FTx-Oxy6,4,15
A7X4Q3,Squamata,Elapidae,Oxyuranus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 3FTx-Oxy1,4,15
A8N285,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin LNTX-2 homolog,4,15
P79810,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1c (Cardiotoxin-1c),4,15
P60301,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 3 (Cardiotoxin 3) (CTX-3) (CTX3) (Cardiotoxin A3) (CTX A3) (Cardiotoxin III) (Cardiotoxin analog III) (CTX III),4,15
A0A2P1BST7,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Mipartoxin-1A (Mipartoxin-IA) (Three-finger toxin-02) (3FTx-02),4,15
A0A2P1BSS9,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Mipartoxin-2 (Mipartoxin-II) (Three-finger toxin-03) (3FTx-03),4,15
Q98957,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1a (Cardiotoxin-1a),4,15
P0C8R8,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Toxin Lc b,4,15
A0A2P1BSS8,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Mipartoxin-4 (Mipartoxin-IV) (Three-finger toxin-05) (3FTx-05),4,15
B3EWF8,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Mipartoxin-1 (Mipartoxin-I) (Three-finger toxin) (3FTx),4,15
P80156,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 4 (Alpha-neurotoxin),4,15
Q802B2,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak neurotoxin 10 (Wntx-10),4,15
P79688,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group IX sub-subfamily",Cardiotoxin homolog TA-ctx-like,4,15
P58370,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Ancestral subfamily, Orphan group IV sub-subfamily",Alpha-neurotoxin homolog 8 (NXH8),4,15
P14534,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XVIII sub-subfamily",Short neurotoxin 2 (Fasciatoxin) (Toxin V-II-2),4,15
P0C555,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Neurotoxin 3FTx-RI,4,15
Q69CK0,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Beta-cardiotoxin CTX27 (OH-27),4,15
P60773,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (NTX I),4,15
P60772,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Neurotoxin 5 (Toxin 5),4,15
P60771,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Cobrotoxin (CBT) (Short neurotoxin I) (NT1),4,15
A8HDK2,Squamata,Elapidae,Oxyuranus,"Snake three-finger toxin family, Short-chain subfamily",Short neurotoxin 3 (SNTX-3) (Three-finger toxin) (3FTx),4,15
P01399,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak toxin CM-13b,4,15
P01465,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 6 (Toxin CM-2H),4,15
F8J2G5,Squamata,Elapidae,Drysdalia,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 342 (SNTX-342),4,15
Q53B46,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Beta-cardiotoxin CTX15 (OH-84),4,15
P81030,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Muscarinic toxin 1 (MT1) (MTx1),4,15
P0DL82,Squamata,Elapidae,Calliophis,"Snake three-finger toxin family, Short-chain subfamily",Delta-elapitoxin-Cb1a (Delta-EPTX-Cb1a) (Calliotoxin) (Three-finger toxin) (3FTx),4,15
P82662,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Alpha-elapitoxin-Oh2b (Alpha-EPTX-Oh2b) (Alpha-neurotoxin) (LNTX3) (Long neurotoxin OH-6A/OH-6B) (OH-3),4,15
P29179,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak neurotoxin 5,4,15
Q53B50,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily",Short neurotoxin OH-32 (Three-finger toxin) (3FTx),4,15
P01460,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 8 (Toxin CM-7),4,15
P0C1Z0,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Acn-esterase inhibitor sub-subfamily",Fasciculin-2 (Fas-2) (Fas2) (Acetylcholinesterase toxin F-VII) (Fasciculin-II) (FAS-II) (Toxin TA1),4,15
Q9PS34,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin Vc-5,4,15
P01470,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 3 (CTX M4) (Cytotoxin V(II)3),4,15
Q9W727,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group VIII (haditoxin) sub-subfamily",Muscarinic toxin-like protein,4,15
P01405,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XI sub-subfamily",Toxin 4.9.6,4,15
P01473,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",Cytotoxin homolog 3 (Venom component 3.20),4,15
Q8UW26,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 2 (SN36),4,15
Q70WS8,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Ancestral subfamily, Orphan group IV sub-subfamily",Neurotoxin BM10-1-like (BM10-1l),4,15
Q9DGH9,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 2,4,15
Q9W729,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Long-chain subfamily, Kappa-neurotoxin sub-subfamily",Kappa-6-bungarotoxin (K-6 bungarotoxin),4,15
C5ILC5,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Alpha-elapitoxin-Oh2a (Alpha-EPTX-Oh2a) (Long chain neurotoxin),4,15
P68413,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (Toxin A),4,15
Q8QGR0,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Muscarinic toxin 7 (MT-7) (MT7) (Muscarinic toxin 1) (m1-toxin),4,15
C6JUP2,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Three-finger toxin 3FTx-2 (3FTx),4,15
Q9W6W9,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 4N (Cardiotoxin-4N) (CTX-4N),4,15
P01474,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",Cytotoxin homolog 2 (Cytotoxin homolog V-II-2/V-II-3),4,15
Q9PRI1,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XII sub-subfamily",Alpha-neurotoxin homolog 7 (NXH7) (Alpha-neurotoxin homolog 3) (NXH3),4,15
P01400,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak toxin S4C11,4,15
O73857,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 5a (Cardiotoxin 5a) (CTX-5a) (Ctx5a),4,15
O12963,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Ancestral subfamily, Orphan group V sub-subfamily",Long neurotoxin homolog TA-bm16 (Delta-protein),4,15
O12962,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Long-chain subfamily, Kappa-neurotoxin sub-subfamily",Kappa-5-bungarotoxin,4,15
P01401,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak toxin CM-11,4,15
P25681,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Acn-esterase inhibitor sub-subfamily",Acetylcholinesterase toxin C (Fasciculin),4,15
P29182,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak neurotoxin 8,4,15
Q91124,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 8 (Cardiotoxin VIII) (Cardiotoxin-8) (CTX8),4,15
Q9YGJ5,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Alpha-neurotoxin NTX-2 (NTX2),4,15
F5CPE6,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Three-finger toxin MALT0070C (3FTx MALT0070C),4,15
A8N286,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group VIII (haditoxin) sub-subfamily",Haditoxin (Muscarinic toxin-like protein 3 homolog) (MTLP-3 homolog),4,15
P0CAR1,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin D1,4,15
F8J2E2,Squamata,Elapidae,Drysdalia,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 77 (LNTX-77),4,15
P01407,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Synergistic-type venom protein S2C4,4,15
P01381,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Alpha-elapitoxin-Ast2b (Alpha-EPTX-Ast2b) (Long neurotoxin 2) (Toxin C),4,15
P68415,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (Toxin 4),4,15
K9MCX0,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily",Three-finger toxin A2 (3FTx A2) (Short chain alpha-neurotoxin A2) (MlatA2),4,15
P25496,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin B,4,15
P25669,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 2 (Toxin B),4,15
P25673,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Long neurotoxin 5 (Toxin E),4,15
P25676,Squamata,Elapidae,Hemachatus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group VI sub-subfamily",Weak toxin CM-1c,4,15
P80245,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 6 (Cardiotoxin 6) (CTX6) (Cardiotoxin A6) (CTX A6) (Cardiotoxin N) (CTXN) (Ctx-N) (Cytotoxin N),4,15
P25677,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XX sub-subfamily",Weak toxin CM-3,4,15
Q53B49,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Short neurotoxin OH-35,4,15
P34073,Squamata,Elapidae,Acanthophis,"Snake three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily",Alpha-elapitoxin-Aa2d (Alpha-EPTX-Aa2d) (Acanthophin-D) (Postsynaptic neurotoxin),4,15
Q98958,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 1d/1e (Cardiotoxin-1d/1e),4,15
P25495,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin A,4,15
P19004,Squamata,Elapidae,Aspidelaps,"Snake three-finger toxin family, Short-chain subfamily, Orphan group XIII sub-subfamily",Cytotoxin homolog S4C8,4,15
P68412,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (Toxin A),4,15
P19960,Squamata,Hydrophiidae,Aipysurus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin D,4,15
P81783,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Ancestral subfamily, Orphan group IV sub-subfamily",Candoxin,4,15
P80494,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",Muscarinic toxin alpha (MT-alpha),4,15
P25494,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 1 (Hydrophitoxin a),4,15
P29180,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak neurotoxin 6,4,15
Q53B48,Squamata,Elapidae,Ophiophagus,"Snake three-finger toxin family, Short-chain subfamily",Short neurotoxin OH-46 (Three-finger toxin) (3FTx),4,15
P29181,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily",Weak neurotoxin 7,4,15
P80548,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Three-finger toxin Mnn I (Neurotoxin alpha) (Nicotinic acetylcholine receptor-binding protein Mnn-9) (Short neurotoxin 1),4,15
P01423,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin 2 (Neurotoxin beta),4,15
P43445,Squamata,Elapidae,Bungarus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group VII sub-subfamily",Short neurotoxin homolog,4,15
P62389,Squamata,Hydrophiidae,Hydrophis,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Toxin 5,4,15
P80958,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Cobrotoxin-b (CBT-b) (Atratoxin-b) (Cobrotoxin III) (CBT-III) (Cobrotoxin IV) (CBT IV) (NT3) (Short neurotoxin),4,15
P01440,Squamata,Elapidae,Naja,"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",Cytotoxin 2 (Cobramine-B) (Cytotoxin II),4,15
C0HJT5,Squamata,Elapidae,Hemachatus,"Snake three-finger toxin family, Short-chain subfamily, Orphan group I sub-subfamily",Ringhalexin,4,15
P0DKS3,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Mambalgin sub-subfamily",Mambalgin-2 (Ma-2) (Mamb-2) (Pi-Dp2),4,15
P0C1Y9,Squamata,Elapidae,Dendroaspis,"Snake three-finger toxin family, Short-chain subfamily, Acn-esterase inhibitor sub-subfamily",Fasciculin-1 (Fas-1) (Fas1) (Fasciculin-I) (FAS-I) (Toxin TA1),4,15
C0HJR2,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Ancestral subfamily",Micrurotoxin 2 (MmTX2),4,15
Q9YGC2,Squamata,Elapidae,Laticauda,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Short neurotoxin OKI-17/NCA-06,4,15
F5CPE4,Squamata,Elapidae,Micrurus,"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",Three-finger toxin MALT0066C (MALT0066C),4,15
